"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","test_part","correct_response","test_number","test_vector","grid_shift","correct","randomID","subject","image_switchboard","scene_order"
"true","800","fullscreen","0","1804","0.0-0.0","","","","","","","","","","","",""
"","1090","html-button-response","1","2897","0.0-1.0","<p style=""text-align: justify;margin-left: 15%; margin-right:15%"">You are participating in an experiment at the Vision Lab of the Department of Cognitive Science, Central European University.  One of our main questions is what kind of representations we can create about our visual environment and how these representations influence our behavior. At our lab we use multiple methods, for example behavioral experiments and computational models. In this experiment you will observe scenes consisting of abstract shapes and answer simple questions about them. <br><br>At the beginning and throughout the experiment you will receive precise information about what to do. The experiment takes about 20 minutes in total. <br><br>The test is voluntary, and you can withdraw your participation at any time. We treat your personal information confidentially. <br>Only those people who work on this research project have access to your data. We will work with group level statistics. We will only report the results of the group in scientific publications and conferences. This research was approved by the Hungarian Psychological Research Ethics Committee.<br><br>If you have any further questions about the study, you can contact the experimenter, Beata Tunde Szabo, PhD Student. Contact: 1051 Nador u. 11. E-mail: szabo_beata-tunde@phd.ceu.edu <br><br>By pressing the button below you indicate that you read this information, found it sufficent, and you consent to participate in the experiment. <br><br> </p>","0","","","","","","","","","",""
"","781","html-button-response","2","3680","0.0-2.0","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your practice session. You will see a checkerboard with random simple shapes appearing in different positions in the checkerboard. Your task is simply to observe the patterns so that you would be able to answer some questions about the sequence after the practice session.  The session will last for about 8 minutes.  Please, pay attention to EACH display! <br><br>Occasionally, there will be an attention check asking you to press the spacebar. ","0","","","","","","","","","",""
"","","vsl-grid-scene-snap-grid-only","3","4685","0.0-3.0-0.0-0.0-0.0","justgrid","","","","","","","","","","",""
"","","vsl-grid-scene-snap","4","6688","0.0-3.0-0.0-0.0-1.0","[[0,0,""img/obj2.png""],[0,""img/obj10.png"",""img/obj7.png""],[""img/obj3.png"",""img/obj12.png"",""img/obj11.png""]]","","","","","","","","","","",""
"","","vsl-grid-scene-snap-grid-only","5","7691","0.0-3.0-0.0-1.0-0.0","justgrid","","","","","","","","","","",""
"","","vsl-grid-scene-snap","6","9694","0.0-3.0-0.0-1.0-1.0","[[""img/obj4.png"",0,0],[""img/obj2.png"",""img/obj6.png"",0],[""img/obj7.png"",""img/obj9.png"",""img/obj5.png""]]","","","","","","","","","","",""
"","1267","vsl-grid-scene","7","10967","0.0-3.0-1.0-0.0-0.0",""," ","","","","","","","","","",""
"","null","html-keyboard-response","8","11970","0.0-3.0-1.0-1.0"," ","null","","","","","","","","","",""
"","null","html-keyboard-response","9","12973","0.0-4.0-0.0","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>120","null","","","","","","","","","",""
"","null","html-keyboard-response","10","13975","0.0-4.0-1.0","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>119","null","","","","","","","","","",""
"","591","html-keyboard-response","11","14568","0.0-5.0","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your test session. You will see 36 trials. In each trial two pairs of shapes will appear with one second of pause between them. Your task is to decide which of the two pairs looks more familiar based on the practice session you have just seen. After the second shape-pair a dialog window will appear asking whether the first or the second pair was more familiar. Using the keyboard you should press 1 or 2. <br> Pressing 1 means that the first shape-pair is more familiar. <br> Pressing 2 means that the second shape-pair is more familiar. <br> No other inputs are accepted. <br> It is important that you pay attention to each trial and that you reply to each trial to the best of your knowledge. Always reply either 1 or 2, even if you are unsure. <br><br>Press space bar to begin.<p>"," ","","","","","","","","","",""
"","","vsl-grid-scene-snap","12","16571","0.0-6.0-0.0-0.0-0.0","[[""img/obj1.png"",0,0],[""img/obj8.png"",0,0],[0,0,0]]","","","","","","","","","","",""
"","","vsl-grid-scene-snap","13","18574","0.0-6.0-0.0-0.0-1.0","[[""img/obj7.png"",0,0],[""img/obj5.png"",0,0],[0,0,0]]","","","","","","","","","","",""
"","1526","html-keyboard-response","14","20101","0.0-6.0-0.0-1.0","<p>Was the first (1) or second (2) more familiar?</p><p>Press key (1) or (2)<p>","1","test","1","0","[1,1,1,1,1,1]","3","true","","","",""
"","","vsl-grid-scene-snap","15","23105","0.0-6.0-1.0-0.0-0.0","[[""img/obj1.png"",0,0],[""img/obj8.png"",0,0],[0,0,0]]","","","","","","","","","","",""
"","","vsl-grid-scene-snap","16","25109","0.0-6.0-1.0-0.0-1.0","[[0,0,0],[0,0,""img/obj9.png""],[0,0,""img/obj2.png""]]","","","","","","","","","","",""
"","449","html-keyboard-response","17","25559","0.0-6.0-1.0-1.0","<p>Was the first (1) or second (2) more familiar?</p><p>Press key (1) or (2)<p>","1","test","1","1","[1,1,1,3,2,2]","3","true","","","",""
"","","vsl-grid-scene-snap","18","28563","0.0-6.0-2.0-0.0-0.0","[[0,""img/obj8.png"",""img/obj12.png""],[0,0,0],[0,0,0]]","","","","","","","","","","",""
"","","vsl-grid-scene-snap","19","30565","0.0-6.0-2.0-0.0-1.0","[[""img/obj1.png"",0,0],[""img/obj8.png"",0,0],[0,0,0]]","","","","","","","","","","",""
"","576","html-keyboard-response","20","31142","0.0-6.0-2.0-1.0","<p>Was the first (1) or second (2) more familiar?</p><p>Press key (1) or (2)<p>","1","test","2","2","[1,1,1,2,1,3]","3","false","","","",""
"","4016","survey-text","21","36170","0.0-7.0","","{""Q0"":""jdjdj ""}","","","","","","","","","",""
"","1642","survey-text","22","37813","0.0-8.0","","{""Q0"":""djjdjd""}","","","","","","","","","",""
"","1304","survey-text","23","39119","0.0-9.0","","{""Q0"":""jkdjd""}","","","","","","","","","",""
"","1982","survey-text","24","41103","0.0-10.0","","{""Q0"":""dkd""}","","","","","","","","","",""
"true","null","fullscreen","25","42106","0.0-11.0","","","","","","","","","","","",""
