"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","button_pressed","responses","training_vector","training_matrixRow","key_press","test_part","correct_response","test_number","test_vector","correct","image_switchboard","scene_order","participant","study","session"
"pavlovia","0","2","0.0-0.0","","","","","","","","","","","","","","","","","",""
"fullscreen","1","2339","0.0-1.0","true","","","","","","","","","","","","","","","","",""
"html-button-response","2","4175","0.0-2.0","","1833.300000011921","<p style=""text-align: justify;margin-left: 15%; margin-right:15%"">You are participating in an experiment at the Vision Lab of the Department of Cognitive Science, Central European University.  One of our main questions is what kind of representations we can create about our visual environment and how these representations influence our behavior. At our lab we use multiple methods, for example behavioral experiments and computational models. In this experiment you will observe scenes consisting of abstract shapes and answer simple questions about them. <br><br>At the beginning and throughout the experiment you will receive precise information about what to do. The experiment takes about 25 minutes in total. <br><br>The test is voluntary, and you can withdraw your participation at any time. We treat your personal information confidentially. <br>Only those people who work on this research project have access to your data. We will work with group level statistics. We will only report the results of the group in scientific publications and conferences. This research was approved by the Hungarian Psychological Research Ethics Committee.<br><br>If you have any further questions about the study, you can contact the experimenter, Beata Tunde Szabo, PhD Student. Contact: 1051 Nador u. 11. E-mail: szabo_beata-tunde@phd.ceu.edu <br><br>By pressing the button below you indicate that you read this information, found it sufficent, and you consent to participate in the experiment. <br><br> </p>","0","","","","","","","","","","","","","",""
"survey-html-form","3","10448","0.0-3.0","","6271.5","","","{""Age"":""37"",""gender"":""Male"",""gender_other"":""""}","","","","","","","","","","","","",""
"html-button-response","4","22047","0.0-4.0","","11598.29999999702","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your practice session. You will see a checkerboard with random simple shapes appearing in different positions in the checkerboard. Your task is simply to observe the patterns so that you would be able to answer some questions about the sequence after the practice session.  The session will last for about 15 minutes.  Please, pay attention to EACH display! <br><br>Occasionally, there will be an attention check asking you to press the spacebar. ","0","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","5","24054","0.0-5.0-0.0-0.0","","","[[0,""img/obj12.png"",""img/obj7.png""],[""img/obj9.png"",0,""img/obj5.png""],[0,""img/obj3.png"",""img/obj1.png""]]","","","3,1,2,2,3,3,2,1,5","89","","","","","","","","","","",""
"vsl-grid-scene-snap","6","27064","0.0-5.0-0.0-1.0","","","[[""img/obj7.png"",""img/obj11.png"",0],[""img/obj5.png"",0,""img/obj2.png""],[""img/obj3.png"",""img/obj1.png"",0]]","","","1,1,2,1,3,3,2,1,6","29","","","","","","","","","","",""
"vsl-grid-scene-snap","7","30072","0.0-5.0-0.0-2.0","","","[[""img/obj11.png"",0,""img/obj7.png""],[0,""img/obj2.png"",""img/obj5.png""],[""img/obj6.png"",""img/obj4.png"",0]]","","","3,1,2,1,3,4,1,1,6","103","","","","","","","","","","",""
"vsl-grid-scene-snap","8","33090","0.0-5.0-0.0-3.0","","","[[""img/obj7.png"",""img/obj3.png"",""img/obj1.png""],[""img/obj5.png"",""img/obj11.png"",0],[0,0,""img/obj2.png""]]","","","1,1,2,2,1,3,2,2,6","9","","","","","","","","","","",""
"vsl-grid-scene-snap","9","36103","0.0-5.0-0.0-4.0","","","[[0,""img/obj11.png"",0],[""img/obj8.png"",0,""img/obj2.png""],[""img/obj10.png"",""img/obj3.png"",""img/obj1.png""]]","","","1,2,1,2,3,3,2,1,6","52","","","","","","","","","","",""
"vsl-grid-scene-snap","10","39130","0.0-5.0-0.0-5.0","","","[[""img/obj11.png"",0,""img/obj7.png""],[0,""img/obj2.png"",""img/obj5.png""],[""img/obj3.png"",""img/obj1.png"",0]]","","","3,1,2,1,3,3,1,1,6","101","","","","","","","","","","",""
"vsl-grid-scene-snap","11","42141","0.0-5.0-0.0-6.0","","","[[0,0,""img/obj12.png""],[""img/obj7.png"",""img/obj9.png"",0],[""img/obj5.png"",""img/obj3.png"",""img/obj1.png""]]","","","1,2,2,2,3,3,3,1,5","49","","","","","","","","","","",""
"vsl-grid-scene-snap","12","45164","0.0-5.0-0.0-7.0","","","[[""img/obj7.png"",0,""img/obj12.png""],[""img/obj5.png"",""img/obj9.png"",0],[""img/obj6.png"",""img/obj4.png"",0]]","","","1,1,2,1,3,4,3,1,5","27","","","","","","","","","","",""
"vsl-grid-scene-snap","13","48182","0.0-5.0-0.0-8.0","","","[[0,""img/obj6.png"",""img/obj4.png""],[0,""img/obj12.png"",""img/obj8.png""],[""img/obj9.png"",0,""img/obj10.png""]]","","","3,2,1,2,1,4,2,2,5","122","","","","","","","","","","",""
"vsl-grid-scene-snap","14","51213","0.0-5.0-0.0-9.0","","","[[0,""img/obj6.png"",""img/obj4.png""],[""img/obj8.png"",""img/obj11.png"",0],[""img/obj10.png"",0,""img/obj2.png""]]","","","1,2,1,2,1,4,2,2,6","46","","","","","","","","","","",""
"vsl-grid-scene-snap","15","54232","0.0-5.0-0.0-10.0","","","[[""img/obj7.png"",""img/obj11.png"",0],[""img/obj5.png"",0,""img/obj2.png""],[0,""img/obj6.png"",""img/obj4.png""]]","","","1,1,2,2,3,4,2,1,6","23","","","","","","","","","","",""
"vsl-grid-scene-snap","16","57236","0.0-5.0-0.0-11.0","","","[[""img/obj11.png"",0,""img/obj8.png""],[0,""img/obj2.png"",""img/obj10.png""],[0,""img/obj6.png"",""img/obj4.png""]]","","","3,1,1,2,3,4,1,1,6","94","","","","","","","","","","",""
"vsl-grid-scene-snap","17","60255","0.0-5.0-0.0-12.0","","","[[""img/obj7.png"",""img/obj6.png"",""img/obj4.png""],[""img/obj5.png"",0,""img/obj12.png""],[0,""img/obj9.png"",0]]","","","1,1,2,2,1,4,3,2,5","3","","","","","","","","","","",""
"vsl-grid-scene-snap","18","63266","0.0-5.0-0.0-13.0","","","[[""img/obj6.png"",""img/obj4.png"",""img/obj7.png""],[""img/obj11.png"",0,""img/obj5.png""],[0,""img/obj2.png"",0]]","","","3,1,2,1,1,4,1,2,6","79","","","","","","","","","","",""
"vsl-grid-scene-snap","19","66275","0.0-5.0-0.0-14.0","","","[[""img/obj11.png"",0,""img/obj7.png""],[0,""img/obj2.png"",""img/obj5.png""],[0,""img/obj3.png"",""img/obj1.png""]]","","","3,1,2,2,3,3,1,1,6","93","","","","","","","","","","",""
