"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","button_pressed","responses","training_vector","training_matrixRow","key_press","test_part","correct_response","test_number","test_vector","correct","image_switchboard","scene_order","participant","study","session"
"pavlovia","0","4","0.0-0.0","","","","","","","","","","","","","","","","","",""
"fullscreen","1","10455","0.0-1.0","true","","","","","","","","","","","","","","","","",""
"html-button-response","2","30912","0.0-2.0","","20454.299999952316","<p style=""text-align: justify;margin-left: 15%; margin-right:15%"">You are participating in an experiment at the Vision Lab of the Department of Cognitive Science, Central European University.  One of our main questions is what kind of representations we can create about our visual environment and how these representations influence our behavior. At our lab we use multiple methods, for example behavioral experiments and computational models. In this experiment you will observe scenes consisting of abstract shapes and answer simple questions about them. <br><br>At the beginning and throughout the experiment you will receive precise information about what to do. The experiment takes about 25 minutes in total. <br><br>The test is voluntary, and you can withdraw your participation at any time. We treat your personal information confidentially. <br>Only those people who work on this research project have access to your data. We will work with group level statistics. We will only report the results of the group in scientific publications and conferences. This research was approved by the Hungarian Psychological Research Ethics Committee.<br><br>If you have any further questions about the study, you can contact the experimenter, Beata Tunde Szabo, PhD Student. Contact: 1051 Nador u. 11. E-mail: szabo_beata-tunde@phd.ceu.edu <br><br>By pressing the button below you indicate that you read this information, found it sufficent, and you consent to participate in the experiment. <br><br> </p>","0","","","","","","","","","","","","","",""
"survey-html-form","3","37250","0.0-3.0","","6336.399999976158","","","{""Age"":""22"",""gender"":""Female"",""gender_other"":""""}","","","","","","","","","","","","",""
"html-button-response","4","90375","0.0-4.0","","53124.5","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your practice session. You will see a checkerboard with random simple shapes appearing in different positions in the checkerboard. Your task is simply to observe the patterns so that you would be able to answer some questions about the sequence after the practice session.  The session will last for about 15 minutes.  Please, pay attention to EACH display! <br><br>Occasionally, there will be an attention check asking you to press the spacebar. ","0","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","5","92378","0.0-5.0-0.0-0.0","","","[[0,""img/obj5.png"",""img/obj12.png""],[""img/obj11.png"",0,""img/obj9.png""],[""img/obj10.png"",""img/obj6.png"",0]]","","","3,1,1,1,3,4,2,1,5","98","","","","","","","","","","",""
"vsl-grid-scene-snap","6","95406","0.0-5.0-0.0-1.0","","","[[0,""img/obj10.png"",""img/obj6.png""],[""img/obj1.png"",0,""img/obj4.png""],[0,""img/obj3.png"",""img/obj8.png""]]","","","3,2,2,2,1,4,1,2,6","127","","","","","","","","","","",""
"vsl-grid-scene-snap","7","98419","0.0-5.0-0.0-2.0","","","[[""img/obj12.png"",0,0],[""img/obj9.png"",""img/obj1.png"",0],[""img/obj2.png"",""img/obj7.png"",""img/obj3.png""]]","","","1,1,1,1,3,3,2,2,6","32","","","","","","","","","","",""
"vsl-grid-scene-snap","8","101443","0.0-5.0-0.0-3.0","","","[[0,""img/obj10.png"",""img/obj6.png""],[""img/obj12.png"",0,""img/obj5.png""],[""img/obj9.png"",""img/obj11.png"",0]]","","","1,2,1,2,1,4,3,2,5","38","","","","","","","","","","",""
"vsl-grid-scene-snap","9","104468","0.0-5.0-0.0-4.0","","","[[0,""img/obj2.png"",""img/obj7.png""],[""img/obj4.png"",""img/obj1.png"",0],[""img/obj8.png"",0,""img/obj3.png""]]","","","1,2,2,2,1,3,2,2,6","45","","","","","","","","","","",""
"vsl-grid-scene-snap","10","107499","0.0-5.0-0.0-5.0","","","[[0,""img/obj2.png"",""img/obj7.png""],[0,""img/obj5.png"",""img/obj12.png""],[""img/obj11.png"",0,""img/obj9.png""]]","","","3,2,1,2,1,3,2,2,5","120","","","","","","","","","","",""
"vsl-grid-scene-snap","11","110516","0.0-5.0-0.0-6.0","","","[[""img/obj12.png"",""img/obj1.png"",0],[""img/obj9.png"",0,""img/obj3.png""],[""img/obj2.png"",""img/obj7.png"",0]]","","","1,1,1,1,3,3,2,1,6","28","","","","","","","","","","",""
"vsl-grid-scene-snap","12","113531","0.0-5.0-0.0-7.0","","","[[""img/obj12.png"",""img/obj2.png"",""img/obj7.png""],[""img/obj9.png"",""img/obj5.png"",0],[""img/obj11.png"",0,0]]","","","1,1,1,2,1,3,2,2,5","4","","","","","","","","","","",""
"vsl-grid-scene-snap","13","116566","0.0-5.0-0.0-8.0","","","[[""img/obj10.png"",""img/obj6.png"",""img/obj12.png""],[0,""img/obj1.png"",""img/obj9.png""],[0,0,""img/obj3.png""]]","","","3,1,1,1,1,4,2,2,6","82","","","","","","","","","","",""
"vsl-grid-scene-snap","14","119579","0.0-5.0-0.0-9.0","","","[[""img/obj12.png"",0,""img/obj5.png""],[""img/obj9.png"",""img/obj11.png"",0],[0,""img/obj10.png"",""img/obj6.png""]]","","","1,1,1,2,3,4,3,1,5","14","","","","","","","","","","",""
"vsl-grid-scene-snap","15","122605","0.0-5.0-0.0-10.0","","","[[0,0,""img/obj4.png""],[0,""img/obj5.png"",""img/obj8.png""],[""img/obj11.png"",""img/obj10.png"",""img/obj6.png""]]","","","3,1,2,2,3,4,2,2,5","87","","","","","","","","","","",""
"vsl-grid-scene-snap","16","125619","0.0-5.0-0.0-11.0","","","[[""img/obj4.png"",0,""img/obj5.png""],[""img/obj8.png"",""img/obj11.png"",0],[0,""img/obj2.png"",""img/obj7.png""]]","","","1,1,2,2,3,3,3,1,5","13","","","","","","","","","","",""
"vsl-grid-scene-snap","17","128644","0.0-5.0-0.0-12.0","","","[[""img/obj2.png"",""img/obj7.png"",0],[""img/obj12.png"",0,""img/obj5.png""],[""img/obj9.png"",""img/obj11.png"",0]]","","","1,2,1,1,1,3,3,2,5","60","","","","","","","","","","",""
"vsl-grid-scene-snap","18","131675","0.0-5.0-0.0-13.0","","","[[""img/obj1.png"",""img/obj2.png"",""img/obj7.png""],[""img/obj12.png"",""img/obj3.png"",0],[""img/obj9.png"",0,0]]","","","1,2,1,2,1,3,1,1,6","40","","","","","","","","","","",""
"vsl-grid-scene-snap","19","134697","0.0-5.0-0.0-14.0","","","[[""img/obj2.png"",""img/obj7.png"",0],[""img/obj4.png"",""img/obj1.png"",0],[""img/obj8.png"",0,""img/obj3.png""]]","","","1,2,2,1,1,3,2,2,6","69","","","","","","","","","","",""
"vsl-grid-scene-snap","20","137712","0.0-5.0-0.0-15.0","","","[[0,0,""img/obj5.png""],[""img/obj4.png"",""img/obj11.png"",0],[""img/obj8.png"",""img/obj2.png"",""img/obj7.png""]]","","","1,2,2,2,3,3,3,1,5","49","","","","","","","","","","",""
"vsl-grid-scene-snap","21","140733","0.0-5.0-0.0-16.0","","","[[""img/obj12.png"",0,0],[""img/obj9.png"",""img/obj5.png"",0],[""img/obj11.png"",""img/obj10.png"",""img/obj6.png""]]","","","1,1,1,2,3,4,2,2,5","18","","","","","","","","","","",""
"vsl-grid-scene-snap","22","143746","0.0-5.0-0.0-17.0","","","[[""img/obj10.png"",""img/obj6.png"",0],[""img/obj12.png"",""img/obj1.png"",0],[""img/obj9.png"",0,""img/obj3.png""]]","","","1,2,1,1,1,4,2,2,6","70","","","","","","","","","","",""
