"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","button_pressed","responses","training_vector","training_matrixRow","key_press","test_part","correct_response","test_number","correct"
"pavlovia","0","3","0.0-0.0","","","","","","","","","","","",""
"fullscreen","1","3100","0.0-1.0","true","","","","","","","","","","",""
"html-button-response","2","5055","0.0-2.0","","1951.7999999821186","<p style=""text-align: justify;margin-left: 15%; margin-right:15%"">You are participating in an experiment at the Vision Lab of the Department of Cognitive Science, Central European University.  One of our main questions is what kind of representations we can create about our visual environment and how these representations influence our behavior. At our lab we use multiple methods, for example behavioral experiments and computational models. In this experiment you will observe scenes consisting of abstract shapes and answer simple questions about them. <br><br>At the beginning and throughout the experiment you will receive precise information about what to do. The experiment takes about 25 minutes in total. <br><br>The test is voluntary, and you can withdraw your participation at any time. We treat your personal information confidentially. <br>Only those people who work on this research project have access to your data. We will work with group level statistics. We will only report the results of the group in scientific publications and conferences. This research was approved by the Hungarian Psychological Research Ethics Committee.<br><br>If you have any further questions about the study, you can contact the experimenter, Beata Tunde Szabo, PhD Student. Contact: 1051 Nador u. 11. E-mail: szabo_beata-tunde@phd.ceu.edu <br><br>By pressing the button below you indicate that you read this information, found it sufficent, and you consent to participate in the experiment. <br><br> </p>","0","","","","","","","",""
"survey-html-form","3","7136","0.0-3.0","","2080.800000011921","","","{""Age"":""2"",""gender"":""Female"",""gender_other"":""""}","","","","","","",""
"html-button-response","4","8440","0.0-4.0","","1303.199999988079","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your practice session. You will see a checkerboard with random simple shapes appearing in different positions in the checkerboard. Your task is simply to observe the patterns so that you would be able to answer some questions about the sequence after the practice session.  The session will last for about 15 minutes.  Please, pay attention to EACH display! <br><br>Occasionally, there will be an attention check asking you to press the spacebar. ","0","","","","","","","",""
"vsl-grid-scene-snap","5","10443","0.0-5.0-0.0-0.0","","","[[""img/obj8.png"",""img/obj5.png"",""img/obj6.png""],[""img/obj4.png"",0,""img/obj9.png""],[0,""img/obj11.png"",0]]","","","1,1,1,2,1,3,3,2,5","0","","","","",""
"vsl-grid-scene-snap","6","13460","0.0-5.0-0.0-1.0","","","[[""img/obj10.png"",""img/obj5.png"",""img/obj6.png""],[""img/obj2.png"",0,""img/obj9.png""],[0,""img/obj11.png"",0]]","","","1,1,2,2,1,3,3,2,5","1","","","","",""
"vsl-grid-attention-check","7","15358","0.0-5.0-1.0-0.0-0.0","","897.3000000119209","[[""img/square.png"",""img/square.png"",""img/square.png""],[0,""img/attention.png"",""img/square.png""],[0,""img/square.png"",0]]","","","","","32","","","",""
"html-keyboard-response","8","16360","0.0-5.0-1.0-1.0","","null"," ","","","","","null","","","",""
"vsl-grid-attention-check","9","16942","0.0-5.0-3.0-0.0-0.0","","580","[[""img/square.png"",0,""img/square.png""],[""img/square.png"",""img/attention.png"",0],[""img/square.png"",0,""img/square.png""]]","","","","","32","","","",""
"html-keyboard-response","10","17943","0.0-5.0-3.0-1.0","","null"," ","","","","","null","","","",""
"vsl-grid-attention-check","11","19330","0.0-5.0-5.0-0.0-0.0","","1383.5999999940395","[[""img/square.png"",""img/square.png"",""img/square.png""],[0,""img/attention.png"",0],[""img/square.png"",0,""img/square.png""]]","","","","","32","","","",""
"html-keyboard-response","12","20332","0.0-5.0-5.0-1.0","","null"," ","","","","","null","","","",""
"vsl-grid-scene-snap","13","22334","0.0-5.0-6.0-0.0","","","[[""img/obj8.png"",""img/obj5.png"",""img/obj6.png""],[""img/obj4.png"",0,""img/obj9.png""],[0,""img/obj11.png"",0]]","","","1,1,1,2,1,3,3,2,5","0","","","","",""
"vsl-grid-scene-snap","14","25336","0.0-5.0-6.0-1.0","","","[[""img/obj10.png"",""img/obj5.png"",""img/obj6.png""],[""img/obj2.png"",0,""img/obj9.png""],[0,""img/obj11.png"",0]]","","","1,1,2,2,1,3,3,2,5","1","","","","",""
"vsl-grid-attention-check","15","27713","0.0-5.0-7.0-0.0-0.0","","1373.300000011921","[[0,""img/square.png"",""img/square.png""],[""img/square.png"",""img/attention.png"",""img/square.png""],[""img/square.png"",0,0]]","","","","","32","","","",""
"html-keyboard-response","16","28715","0.0-5.0-7.0-1.0","","null"," ","","","","","null","","","",""
"vsl-grid-attention-check","17","29119","0.0-5.0-9.0-0.0-0.0","","402","[[0,""img/square.png"",""img/square.png""],[0,""img/attention.png"",""img/square.png""],[""img/square.png"",0,""img/square.png""]]","","","","","32","","","",""
"html-keyboard-response","18","30121","0.0-5.0-9.0-1.0","","null"," ","","","","","null","","","",""
"html-keyboard-response","19","31122","0.0-6.0-0.0","","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>120","","","","","null","","","",""
"html-keyboard-response","20","32124","0.0-6.0-1.0","","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>119","","","","","null","","","",""
"html-keyboard-response","21","37166","0.0-7.0","","5041.700000017881","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your test session. You will see 36 trials. In each trial two pairs of shapes will appear with one second of pause between them. Your task is to decide which of the two pairs looks more familiar based on the practice session you have just seen. After the second shape-pair a dialog window will appear asking whether the first or the second pair was more familiar. Using the keyboard you should press 1 or 2. <br> Pressing 1 means that the first shape-pair is more familiar. <br> Pressing 2 means that the second shape-pair is more familiar. <br> No other inputs are accepted. <br> It is important that you pay attention to each trial and that you reply to each trial to the best of your knowledge. Always reply either 1 or 2, even if you are unsure. <br><br>Press space bar to begin.<p>","","","","","32","","","",""
"vsl-grid-scene-snap","22","39167","0.0-8.0-0.0-0.0-0.0","","","[[""img/obj8.png"",0,0],[""img/obj4.png"",0,0],[0,0,0]]","","","","","","","","",""
"vsl-grid-scene-snap","23","42169","0.0-8.0-0.0-0.0-1.0","","","[[""img/obj2.png"",0,0],[""img/obj6.png"",0,0],[0,0,0]]","","","","","","","","",""
"html-keyboard-response","24","45295","0.0-8.0-0.0-1.0","","2124.100000023842","<p>Was the first (1) or second (2) more familiar?</p><p>Press key (1) or (2)<p>","","","","","49","test","1","0","true"
"vsl-grid-scene-snap","25","48304","0.0-8.0-1.0-0.0-0.0","","","[[0,0,0],[0,0,""img/obj5.png""],[0,0,""img/obj10.png""]]","","","","","","","","",""
"vsl-grid-scene-snap","26","51306","0.0-8.0-1.0-0.0-1.0","","","[[""img/obj8.png"",0,0],[""img/obj4.png"",0,0],[0,0,0]]","","","","","","","","",""
"html-keyboard-response","27","52783","0.0-8.0-1.0-1.0","","475","<p>Was the first (1) or second (2) more familiar?</p><p>Press key (1) or (2)<p>","","","","","49","test","2","1","false"
"survey-text","28","56153","0.0-9.0","","2364.5999999940395","","","{""Q0"":""a""}","","","","","","",""
"survey-text","29","57232","0.0-10.0","","1077.2000000178814","","","{""Q0"":""aa""}","","","","","","",""
"survey-text","30","58323","0.0-11.0","","1089.699999988079","","","{""Q0"":""aaa""}","","","","","","",""
