"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","button_pressed","responses","training_vector","training_matrixRow","key_press","test_part","correct_response","test_number","test_vector","correct","image_switchboard","scene_order","participant","study","session"
"pavlovia","0","3","0.0-0.0","","","","","","","","","","","","","","","","","",""
"fullscreen","1","4758","0.0-1.0","true","","","","","","","","","","","","","","","","",""
"html-button-response","2","14827","0.0-2.0","","10051.299999952316","<p style=""text-align: justify;margin-left: 15%; margin-right:15%"">You are participating in an experiment at the Vision Lab of the Department of Cognitive Science, Central European University.  One of our main questions is what kind of representations we can create about our visual environment and how these representations influence our behavior. At our lab we use multiple methods, for example behavioral experiments and computational models. In this experiment you will observe scenes consisting of abstract shapes and answer simple questions about them. <br><br>At the beginning and throughout the experiment you will receive precise information about what to do. The experiment takes about 25 minutes in total. <br><br>The test is voluntary, and you can withdraw your participation at any time. We treat your personal information confidentially. <br>Only those people who work on this research project have access to your data. We will work with group level statistics. We will only report the results of the group in scientific publications and conferences. This research was approved by the Hungarian Psychological Research Ethics Committee.<br><br>If you have any further questions about the study, you can contact the experimenter, Beata Tunde Szabo, PhD Student. Contact: 1051 Nador u. 11. E-mail: szabo_beata-tunde@phd.ceu.edu <br><br>By pressing the button below you indicate that you read this information, found it sufficent, and you consent to participate in the experiment. <br><br> </p>","0","","","","","","","","","","","","","",""
"survey-html-form","3","19474","0.0-3.0","","4644.600000023842","","","{""Age"":""21"",""gender"":""Male"",""gender_other"":""""}","","","","","","","","","","","","",""
"html-button-response","4","44363","0.0-4.0","","24887.600000023842","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your practice session. You will see a checkerboard with random simple shapes appearing in different positions in the checkerboard. Your task is simply to observe the patterns so that you would be able to answer some questions about the sequence after the practice session.  The session will last for about 15 minutes.  Please, pay attention to EACH display! <br><br>Occasionally, there will be an attention check asking you to press the spacebar. ","0","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","5","46366","0.0-5.0-0.0-0.0","","","[[0,""img/obj8.png"",0],[""img/obj12.png"",0,""img/obj9.png""],[""img/obj6.png"",""img/obj3.png"",""img/obj2.png""]]","","","3,2,1,1,3,3,2,1,5","132","","","","","","","","","","",""
"vsl-grid-scene-snap","6","49391","0.0-5.0-0.0-1.0","","","[[""img/obj6.png"",""img/obj3.png"",0],[""img/obj1.png"",0,""img/obj8.png""],[""img/obj11.png"",""img/obj12.png"",0]]","","","1,2,2,1,1,3,3,2,5","61","","","","","","","","","","",""
"vsl-grid-scene-snap","7","52424","0.0-5.0-0.0-2.0","","","[[0,0,""img/obj8.png""],[0,""img/obj12.png"",""img/obj9.png""],[""img/obj10.png"",""img/obj7.png"",""img/obj2.png""]]","","","3,2,1,1,3,4,3,1,5","142","","","","","","","","","","",""
"vsl-grid-scene-snap","8","55484","0.0-5.0-0.0-3.0","","","[[0,""img/obj6.png"",""img/obj3.png""],[""img/obj5.png"",0,""img/obj9.png""],[0,""img/obj4.png"",""img/obj2.png""]]","","","3,2,1,2,1,3,1,2,6","124","","","","","","","","","","",""
"vsl-grid-scene-snap","9","58523","0.0-5.0-0.0-4.0","","","[[""img/obj10.png"",""img/obj7.png"",""img/obj1.png""],[0,""img/obj8.png"",""img/obj11.png""],[""img/obj12.png"",0,0]]","","","3,1,2,1,1,4,2,2,5","75","","","","","","","","","","",""
"vsl-grid-scene-snap","10","61553","0.0-5.0-0.0-5.0","","","[[""img/obj6.png"",""img/obj3.png"",""img/obj8.png""],[0,""img/obj12.png"",""img/obj9.png""],[0,0,""img/obj2.png""]]","","","3,2,1,1,1,3,3,1,5","116","","","","","","","","","","",""
"vsl-grid-scene-snap","11","64582","0.0-5.0-0.0-6.0","","","[[0,""img/obj8.png"",0],[""img/obj12.png"",0,""img/obj1.png""],[""img/obj10.png"",""img/obj7.png"",""img/obj11.png""]]","","","3,2,2,1,3,4,2,1,5","135","","","","","","","","","","",""
"vsl-grid-scene-snap","12","67611","0.0-5.0-0.0-7.0","","","[[""img/obj1.png"",""img/obj6.png"",""img/obj3.png""],[""img/obj11.png"",""img/obj8.png"",0],[""img/obj12.png"",0,0]]","","","1,1,2,2,1,3,2,2,5","5","","","","","","","","","","",""
"vsl-grid-scene-snap","13","70636","0.0-5.0-0.0-8.0","","","[[""img/obj6.png"",""img/obj3.png"",""img/obj9.png""],[0,""img/obj5.png"",""img/obj2.png""],[0,0,""img/obj4.png""]]","","","3,1,1,1,1,3,2,2,6","80","","","","","","","","","","",""
"vsl-grid-scene-snap","14","73670","0.0-5.0-0.0-9.0","","","[[""img/obj9.png"",0,0],[""img/obj2.png"",""img/obj5.png"",0],[""img/obj6.png"",""img/obj3.png"",""img/obj4.png""]]","","","1,1,1,1,3,3,2,2,6","32","","","","","","","","","","",""
"vsl-grid-scene-snap","15","76728","0.0-5.0-0.0-10.0","","","[[""img/obj5.png"",0,""img/obj9.png""],[0,""img/obj4.png"",""img/obj2.png""],[""img/obj10.png"",""img/obj7.png"",0]]","","","3,1,1,1,3,4,1,1,6","102","","","","","","","","","","",""
"vsl-grid-scene-snap","16","79917","0.0-5.0-0.0-11.0","","","[[""img/obj1.png"",0,""img/obj8.png""],[""img/obj11.png"",""img/obj12.png"",0],[""img/obj6.png"",""img/obj3.png"",0]]","","","1,1,2,1,3,3,3,1,5","25","","","","","","","","","","",""
"vsl-grid-scene-snap","17","83912","0.0-5.0-0.0-12.0","","","[[""img/obj5.png"",0,0],[""img/obj9.png"",""img/obj4.png"",0],[""img/obj2.png"",""img/obj6.png"",""img/obj3.png""]]","","","1,2,1,2,3,3,1,1,6","56","","","","","","","","","","",""
"vsl-grid-scene-snap","18","87916","0.0-5.0-0.0-13.0","","","[[""img/obj9.png"",0,0],[""img/obj2.png"",""img/obj8.png"",0],[""img/obj12.png"",""img/obj10.png"",""img/obj7.png""]]","","","1,1,1,2,3,4,2,2,5","18","","","","","","","","","","",""
"vsl-grid-scene-snap","19","91919","0.0-5.0-0.0-14.0","","","[[""img/obj5.png"",0,""img/obj9.png""],[0,""img/obj4.png"",""img/obj2.png""],[""img/obj6.png"",""img/obj3.png"",0]]","","","3,1,1,1,3,3,1,1,6","100","","","","","","","","","","",""
"vsl-grid-scene-snap","20","96915","0.0-5.0-0.0-15.0","","","[[""img/obj9.png"",0,""img/obj8.png""],[""img/obj2.png"",""img/obj12.png"",0],[0,""img/obj6.png"",""img/obj3.png""]]","","","1,1,1,2,3,3,3,1,5","12","","","","","","","","","","",""
"vsl-grid-scene-snap","21","99916","0.0-5.0-0.0-16.0","","","[[""img/obj9.png"",""img/obj10.png"",""img/obj7.png""],[""img/obj2.png"",0,""img/obj8.png""],[0,""img/obj12.png"",0]]","","","1,1,1,2,1,4,3,2,5","2","","","","","","","","","","",""
"vsl-grid-scene-snap","22","104917","0.0-5.0-0.0-17.0","","","[[""img/obj10.png"",""img/obj7.png"",""img/obj9.png""],[0,""img/obj8.png"",""img/obj2.png""],[""img/obj12.png"",0,0]]","","","3,1,1,1,1,4,2,2,5","74","","","","","","","","","","",""
"vsl-grid-scene-snap","23","108921","0.0-5.0-0.0-18.0","","","[[""img/obj1.png"",""img/obj5.png"",0],[""img/obj11.png"",0,""img/obj4.png""],[""img/obj6.png"",""img/obj3.png"",0]]","","","1,1,2,1,3,3,2,1,6","29","","","","","","","","","","",""
"vsl-grid-scene-snap","24","112915","0.0-5.0-0.0-19.0","","","[[""img/obj1.png"",0,0],[""img/obj11.png"",""img/obj5.png"",0],[""img/obj10.png"",""img/obj7.png"",""img/obj4.png""]]","","","1,1,2,1,3,4,2,2,6","35","","","","","","","","","","",""
"vsl-grid-scene-snap","25","116918","0.0-5.0-0.0-20.0","","","[[0,""img/obj6.png"",""img/obj3.png""],[0,""img/obj8.png"",""img/obj1.png""],[""img/obj12.png"",0,""img/obj11.png""]]","","","3,2,2,2,1,3,2,2,5","121","","","","","","","","","","",""
"vsl-grid-scene-snap","26","121925","0.0-5.0-0.0-21.0","","","[[0,0,""img/obj8.png""],[0,""img/obj12.png"",""img/obj9.png""],[""img/obj6.png"",""img/obj3.png"",""img/obj2.png""]]","","","3,2,1,1,3,3,3,1,5","140","","","","","","","","","","",""
"vsl-grid-scene-snap","27","126912","0.0-5.0-0.0-22.0","","","[[""img/obj5.png"",0,""img/obj9.png""],[0,""img/obj4.png"",""img/obj2.png""],[0,""img/obj10.png"",""img/obj7.png""]]","","","3,1,1,2,3,4,1,1,6","94","","","","","","","","","","",""
"vsl-grid-scene-snap","28","129927","0.0-5.0-0.0-23.0","","","[[""img/obj6.png"",""img/obj3.png"",0],[""img/obj9.png"",""img/obj5.png"",0],[""img/obj2.png"",0,""img/obj4.png""]]","","","1,2,1,1,1,3,2,2,6","68","","","","","","","","","","",""
"vsl-grid-scene-snap","29","134921","0.0-5.0-0.0-24.0","","","[[0,""img/obj10.png"",""img/obj7.png""],[0,""img/obj8.png"",""img/obj1.png""],[""img/obj12.png"",0,""img/obj11.png""]]","","","3,2,2,2,1,4,2,2,5","123","","","","","","","","","","",""
