"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","button_pressed","responses","training_vector","training_matrixRow","key_press","test_part","correct_response","test_number","test_vector","correct","image_switchboard","scene_order","participant","study","session"
"pavlovia","0","2","0.0-0.0","","","","","","","","","","","","","","","","","",""
"fullscreen","1","36853","0.0-1.0","true","","","","","","","","","","","","","","","","",""
"html-button-response","2","47210","0.0-2.0","","10354.5","<p style=""text-align: justify;margin-left: 15%; margin-right:15%"">You are participating in an experiment at the Vision Lab of the Department of Cognitive Science, Central European University.  One of our main questions is what kind of representations we can create about our visual environment and how these representations influence our behavior. At our lab we use multiple methods, for example behavioral experiments and computational models. In this experiment you will observe scenes consisting of abstract shapes and answer simple questions about them. <br><br>At the beginning and throughout the experiment you will receive precise information about what to do. The experiment takes about 25 minutes in total. <br><br>The test is voluntary, and you can withdraw your participation at any time. We treat your personal information confidentially. <br>Only those people who work on this research project have access to your data. We will work with group level statistics. We will only report the results of the group in scientific publications and conferences. This research was approved by the Hungarian Psychological Research Ethics Committee.<br><br>If you have any further questions about the study, you can contact the experimenter, Beata Tunde Szabo, PhD Student. Contact: 1051 Nador u. 11. E-mail: szabo_beata-tunde@phd.ceu.edu <br><br>By pressing the button below you indicate that you read this information, found it sufficent, and you consent to participate in the experiment. <br><br> </p>","0","","","","","","","","","","","","","",""
"survey-html-form","3","52620","0.0-3.0","","5407.699999928474","","","{""Age"":""37"",""gender"":""Male"",""gender_other"":""""}","","","","","","","","","","","","",""
"html-button-response","4","80611","0.0-4.0","","27990.399999976158","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your practice session. You will see a checkerboard with random simple shapes appearing in different positions in the checkerboard. Your task is simply to observe the patterns so that you would be able to answer some questions about the sequence after the practice session.  The session will last for about 15 minutes.  Please, pay attention to EACH display! <br><br>Occasionally, there will be an attention check asking you to press the spacebar. ","0","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","5","82618","0.0-5.0-0.0-0.0","","","[[""img/obj12.png"",""img/obj3.png"",0],[""img/obj6.png"",0,""img/obj8.png""],[0,""img/obj9.png"",""img/obj1.png""]]","","","1,1,2,2,3,4,2,1,6","23","","","","","","","","","","",""
"vsl-grid-scene-snap","6","85626","0.0-5.0-0.0-1.0","","","[[0,""img/obj3.png"",0],[""img/obj12.png"",0,""img/obj8.png""],[""img/obj6.png"",""img/obj9.png"",""img/obj1.png""]]","","","1,2,2,2,3,4,2,1,6","55","","","","","","","","","","",""
"vsl-grid-scene-snap","7","88650","0.0-5.0-0.0-2.0","","","[[""img/obj12.png"",""img/obj5.png"",""img/obj2.png""],[""img/obj6.png"",""img/obj3.png"",0],[0,0,""img/obj8.png""]]","","","1,1,2,2,1,3,2,2,6","9","","","","","","","","","","",""
"vsl-grid-scene-snap","8","91674","0.0-5.0-0.0-3.0","","","[[0,0,""img/obj7.png""],[0,""img/obj11.png"",""img/obj4.png""],[""img/obj9.png"",""img/obj1.png"",""img/obj10.png""]]","","","3,2,1,1,3,4,3,1,5","142","","","","","","","","","","",""
"vsl-grid-scene-snap","9","94691","0.0-5.0-0.0-4.0","","","[[0,""img/obj5.png"",""img/obj2.png""],[""img/obj12.png"",0,""img/obj7.png""],[""img/obj6.png"",""img/obj11.png"",0]]","","","1,2,2,2,1,3,3,2,5","37","","","","","","","","","","",""
"vsl-grid-scene-snap","10","97715","0.0-5.0-0.0-5.0","","","[[0,""img/obj9.png"",""img/obj1.png""],[""img/obj4.png"",""img/obj3.png"",0],[""img/obj10.png"",0,""img/obj8.png""]]","","","1,2,1,2,1,4,2,2,6","46","","","","","","","","","","",""
"vsl-grid-scene-snap","11","100735","0.0-5.0-0.0-6.0","","","[[""img/obj4.png"",""img/obj9.png"",""img/obj1.png""],[""img/obj10.png"",""img/obj3.png"",0],[0,0,""img/obj8.png""]]","","","1,1,1,2,1,4,2,2,6","10","","","","","","","","","","",""
"vsl-grid-scene-snap","12","103765","0.0-5.0-0.0-7.0","","","[[""img/obj3.png"",0,0],[0,""img/obj8.png"",""img/obj12.png""],[""img/obj5.png"",""img/obj2.png"",""img/obj6.png""]]","","","3,2,2,1,3,3,1,1,6","137","","","","","","","","","","",""
"vsl-grid-scene-snap","13","106787","0.0-5.0-0.0-8.0","","","[[0,0,""img/obj12.png""],[0,""img/obj3.png"",""img/obj6.png""],[""img/obj9.png"",""img/obj1.png"",""img/obj8.png""]]","","","3,1,2,1,3,4,2,2,6","107","","","","","","","","","","",""
"vsl-grid-scene-snap","14","109800","0.0-5.0-0.0-9.0","","","[[0,""img/obj5.png"",""img/obj2.png""],[0,""img/obj7.png"",""img/obj4.png""],[""img/obj11.png"",0,""img/obj10.png""]]","","","3,2,1,2,1,3,2,2,5","120","","","","","","","","","","",""
"vsl-grid-scene-snap","15","112818","0.0-5.0-0.0-10.0","","","[[0,""img/obj5.png"",""img/obj2.png""],[""img/obj3.png"",0,""img/obj12.png""],[0,""img/obj8.png"",""img/obj6.png""]]","","","3,2,2,2,1,3,1,2,6","125","","","","","","","","","","",""
"vsl-grid-scene-snap","16","115832","0.0-5.0-0.0-11.0","","","[[""img/obj12.png"",0,""img/obj7.png""],[""img/obj6.png"",""img/obj11.png"",0],[""img/obj5.png"",""img/obj2.png"",0]]","","","1,1,2,1,3,3,3,1,5","25","","","","","","","","","","",""
"vsl-grid-scene-snap","17","118840","0.0-5.0-0.0-12.0","","","[[""img/obj3.png"",0,0],[""img/obj12.png"",""img/obj8.png"",0],[""img/obj6.png"",""img/obj5.png"",""img/obj2.png""]]","","","1,2,2,2,3,3,1,1,6","57","","","","","","","","","","",""
"vsl-grid-scene-snap","18","121858","0.0-5.0-0.0-13.0","","","[[""img/obj9.png"",""img/obj1.png"",0],[""img/obj4.png"",""img/obj3.png"",0],[""img/obj10.png"",0,""img/obj8.png""]]","","","1,2,1,1,1,4,2,2,6","70","","","","","","","","","","",""
