"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","button_pressed","responses","training_vector","training_matrixRow","key_press","test_part","correct_response","test_number","test_vector","correct","image_switchboard","scene_order","participant","study","session"
"pavlovia","0","2","0.0-0.0","","","","","","","","","","","","","","","","","",""
"fullscreen","1","12755","0.0-1.0","true","","","","","","","","","","","","","","","","",""
"html-button-response","2","23975","0.0-2.0","","11216.59999999404","<p style=""text-align: justify;margin-left: 15%; margin-right:15%"">You are participating in an experiment at the Vision Lab of the Department of Cognitive Science, Central European University.  One of our main questions is what kind of representations we can create about our visual environment and how these representations influence our behavior. At our lab we use multiple methods, for example behavioral experiments and computational models. In this experiment you will observe scenes consisting of abstract shapes and answer simple questions about them. <br><br>At the beginning and throughout the experiment you will receive precise information about what to do. The experiment takes about 25 minutes in total. <br><br>The test is voluntary, and you can withdraw your participation at any time. We treat your personal information confidentially. <br>Only those people who work on this research project have access to your data. We will work with group level statistics. We will only report the results of the group in scientific publications and conferences. This research was approved by the Hungarian Psychological Research Ethics Committee.<br><br>If you have any further questions about the study, you can contact the experimenter, Beata Tunde Szabo, PhD Student. Contact: 1051 Nador u. 11. E-mail: szabo_beata-tunde@phd.ceu.edu <br><br>By pressing the button below you indicate that you read this information, found it sufficent, and you consent to participate in the experiment. <br><br> </p>","0","","","","","","","","","","","","","",""
"survey-html-form","3","27561","0.0-3.0","","3584","","","{""Age"":""24"",""gender"":""Male"",""gender_other"":""""}","","","","","","","","","","","","",""
"html-button-response","4","45933","0.0-4.0","","18370.5","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your practice session. You will see a checkerboard with random simple shapes appearing in different positions in the checkerboard. Your task is simply to observe the patterns so that you would be able to answer some questions about the sequence after the practice session.  The session will last for about 15 minutes.  Please, pay attention to EACH display! <br><br>Occasionally, there will be an attention check asking you to press the spacebar. ","0","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","5","47939","0.0-5.0-0.0-0.0","","","[[""img/obj2.png"",""img/obj8.png"",""img/obj10.png""],[""img/obj6.png"",""img/obj4.png"",0],[""img/obj3.png"",0,0]]","","","1,2,2,2,1,3,1,1,6","41","","","","","","","","","","",""
"vsl-grid-scene-snap","6","50955","0.0-5.0-0.0-1.0","","","[[""img/obj2.png"",0,""img/obj6.png""],[0,""img/obj4.png"",""img/obj3.png""],[""img/obj8.png"",""img/obj10.png"",0]]","","","3,1,2,1,3,3,1,1,6","101","","","","","","","","","","",""
"vsl-grid-scene-snap","7","53971","0.0-5.0-0.0-2.0","","","[[""img/obj8.png"",""img/obj10.png"",0],[0,""img/obj7.png"",""img/obj6.png""],[""img/obj5.png"",0,""img/obj3.png""]]","","","3,2,2,1,1,3,2,2,5","109","","","","","","","","","","",""
"vsl-grid-scene-snap","8","56987","0.0-5.0-0.0-3.0","","","[[""img/obj1.png"",""img/obj9.png"",""img/obj7.png""],[""img/obj6.png"",""img/obj5.png"",0],[""img/obj3.png"",0,0]]","","","1,2,2,1,1,4,3,1,5","67","","","","","","","","","","",""
"vsl-grid-scene-snap","9","60003","0.0-5.0-0.0-4.0","","","[[""img/obj8.png"",""img/obj10.png"",""img/obj7.png""],[0,""img/obj5.png"",""img/obj11.png""],[0,0,""img/obj12.png""]]","","","3,2,1,1,1,3,3,1,5","116","","","","","","","","","","",""
"vsl-grid-scene-snap","10","63020","0.0-5.0-0.0-5.0","","","[[""img/obj1.png"",""img/obj9.png"",0],[""img/obj6.png"",0,""img/obj7.png""],[""img/obj3.png"",""img/obj5.png"",0]]","","","1,2,2,1,1,4,3,2,5","63","","","","","","","","","","",""
"vsl-grid-scene-snap","11","66035","0.0-5.0-0.0-6.0","","","[[""img/obj2.png"",""img/obj8.png"",""img/obj10.png""],[0,""img/obj4.png"",""img/obj6.png""],[0,0,""img/obj3.png""]]","","","3,2,2,2,1,3,1,1,6","129","","","","","","","","","","",""
"vsl-grid-scene-snap","12","69051","0.0-5.0-0.0-7.0","","","[[""img/obj6.png"",""img/obj2.png"",0],[""img/obj3.png"",0,""img/obj4.png""],[0,""img/obj1.png"",""img/obj9.png""]]","","","1,1,2,2,3,4,2,1,6","23","","","","","","","","","","",""
"vsl-grid-scene-snap","13","72067","0.0-5.0-0.0-8.0","","","[[0,""img/obj8.png"",""img/obj10.png""],[""img/obj6.png"",""img/obj2.png"",0],[""img/obj3.png"",0,""img/obj4.png""]]","","","1,2,2,2,1,3,2,2,6","45","","","","","","","","","","",""
"vsl-grid-scene-snap","14","75083","0.0-5.0-0.0-9.0","","","[[""img/obj2.png"",0,""img/obj11.png""],[0,""img/obj4.png"",""img/obj12.png""],[0,""img/obj8.png"",""img/obj10.png""]]","","","3,1,1,2,3,3,1,1,6","92","","","","","","","","","","",""
"vsl-grid-scene-snap","15","78099","0.0-5.0-0.0-10.0","","","[[""img/obj8.png"",""img/obj10.png"",""img/obj6.png""],[0,""img/obj2.png"",""img/obj3.png""],[0,0,""img/obj4.png""]]","","","3,1,2,1,1,3,2,2,6","81","","","","","","","","","","",""
"vsl-grid-scene-snap","16","81115","0.0-5.0-0.0-11.0","","","[[""img/obj6.png"",""img/obj2.png"",0],[""img/obj3.png"",0,""img/obj4.png""],[""img/obj1.png"",""img/obj9.png"",0]]","","","1,1,2,1,3,4,2,1,6","31","","","","","","","","","","",""
"vsl-grid-scene-snap","17","84131","0.0-5.0-0.0-12.0","","","[[""img/obj2.png"",0,""img/obj6.png""],[0,""img/obj4.png"",""img/obj3.png""],[0,""img/obj8.png"",""img/obj10.png""]]","","","3,1,2,2,3,3,1,1,6","93","","","","","","","","","","",""
"vsl-grid-scene-snap","18","87147","0.0-5.0-0.0-13.0","","","[[""img/obj6.png"",0,""img/obj7.png""],[""img/obj3.png"",""img/obj5.png"",0],[0,""img/obj8.png"",""img/obj10.png""]]","","","1,1,2,2,3,3,3,1,5","13","","","","","","","","","","",""
"vsl-grid-scene-snap","19","90163","0.0-5.0-0.0-14.0","","","[[""img/obj8.png"",""img/obj10.png"",0],[""img/obj6.png"",0,""img/obj7.png""],[""img/obj3.png"",""img/obj5.png"",0]]","","","1,2,2,1,1,3,3,2,5","61","","","","","","","","","","",""
"vsl-grid-scene-snap","20","93179","0.0-5.0-0.0-15.0","","","[[""img/obj8.png"",""img/obj10.png"",""img/obj7.png""],[""img/obj6.png"",""img/obj5.png"",0],[""img/obj3.png"",0,0]]","","","1,2,2,1,1,3,3,1,5","65","","","","","","","","","","",""
"vsl-grid-scene-snap","21","96196","0.0-5.0-0.0-16.0","","","[[""img/obj1.png"",""img/obj9.png"",""img/obj11.png""],[0,""img/obj7.png"",""img/obj12.png""],[""img/obj5.png"",0,0]]","","","3,1,1,1,1,4,2,2,5","74","","","","","","","","","","",""
"vsl-grid-scene-snap","22","99212","0.0-5.0-0.0-17.0","","","[[0,""img/obj2.png"",0],[""img/obj11.png"",0,""img/obj4.png""],[""img/obj12.png"",""img/obj8.png"",""img/obj10.png""]]","","","1,2,1,2,3,3,2,1,6","52","","","","","","","","","","",""
"vsl-grid-scene-snap","23","102219","0.0-5.0-0.0-18.0","","","[[""img/obj6.png"",""img/obj2.png"",0],[""img/obj3.png"",0,""img/obj4.png""],[""img/obj8.png"",""img/obj10.png"",0]]","","","1,1,2,1,3,3,2,1,6","29","","","","","","","","","","",""
"vsl-grid-scene-snap","24","105235","0.0-5.0-0.0-19.0","","","[[""img/obj11.png"",0,0],[""img/obj12.png"",""img/obj2.png"",0],[""img/obj8.png"",""img/obj10.png"",""img/obj4.png""]]","","","1,1,1,1,3,3,2,2,6","32","","","","","","","","","","",""
"vsl-grid-scene-snap","25","108251","0.0-5.0-0.0-20.0","","","[[""img/obj1.png"",""img/obj9.png"",0],[""img/obj2.png"",0,""img/obj11.png""],[0,""img/obj4.png"",""img/obj12.png""]]","","","3,2,1,1,1,4,1,2,6","114","","","","","","","","","","",""
"vsl-grid-scene-snap","26","111267","0.0-5.0-0.0-21.0","","","[[""img/obj11.png"",0,0],[""img/obj12.png"",""img/obj7.png"",0],[""img/obj5.png"",""img/obj8.png"",""img/obj10.png""]]","","","1,1,1,2,3,3,2,2,5","16","","","","","","","","","","",""
"vsl-grid-scene-snap","27","114283","0.0-5.0-0.0-22.0","","","[[0,""img/obj8.png"",""img/obj10.png""],[0,""img/obj7.png"",""img/obj11.png""],[""img/obj5.png"",0,""img/obj12.png""]]","","","3,2,1,2,1,3,2,2,5","120","","","","","","","","","","",""
"vsl-grid-scene-snap","28","117299","0.0-5.0-0.0-23.0","","","[[0,""img/obj7.png"",""img/obj6.png""],[""img/obj5.png"",0,""img/obj3.png""],[""img/obj1.png"",""img/obj9.png"",0]]","","","3,1,2,1,3,4,2,1,5","99","","","","","","","","","","",""
"vsl-grid-scene-snap","29","120315","0.0-5.0-0.0-24.0","","","[[0,0,""img/obj11.png""],[0,""img/obj7.png"",""img/obj12.png""],[""img/obj5.png"",""img/obj8.png"",""img/obj10.png""]]","","","3,1,1,2,3,3,2,2,5","84","","","","","","","","","","",""
"vsl-grid-scene-snap","30","123331","0.0-5.0-0.0-25.0","","","[[""img/obj11.png"",""img/obj1.png"",""img/obj9.png""],[""img/obj12.png"",""img/obj7.png"",0],[""img/obj5.png"",0,0]]","","","1,1,1,2,1,4,2,2,5","6","","","","","","","","","","",""
"vsl-grid-scene-snap","31","126347","0.0-5.0-0.0-26.0","","","[[""img/obj2.png"",0,""img/obj11.png""],[0,""img/obj4.png"",""img/obj12.png""],[""img/obj1.png"",""img/obj9.png"",0]]","","","3,1,1,1,3,4,1,1,6","102","","","","","","","","","","",""
"vsl-grid-scene-snap","32","129363","0.0-5.0-0.0-27.0","","","[[0,""img/obj2.png"",0],[""img/obj11.png"",0,""img/obj4.png""],[""img/obj12.png"",""img/obj1.png"",""img/obj9.png""]]","","","1,2,1,2,3,4,2,1,6","54","","","","","","","","","","",""
"vsl-grid-scene-snap","33","132379","0.0-5.0-0.0-28.0","","","[[""img/obj2.png"",""img/obj8.png"",""img/obj10.png""],[0,""img/obj4.png"",""img/obj11.png""],[0,0,""img/obj12.png""]]","","","3,2,1,2,1,3,1,1,6","128","","","","","","","","","","",""
"vsl-grid-scene-snap","34","135395","0.0-5.0-0.0-29.0","","","[[""img/obj1.png"",""img/obj9.png"",0],[""img/obj11.png"",""img/obj2.png"",0],[""img/obj12.png"",0,""img/obj4.png""]]","","","1,2,1,1,1,4,2,2,6","70","","","","","","","","","","",""
"vsl-grid-scene-snap","35","138411","0.0-5.0-0.0-30.0","","","[[0,0,""img/obj7.png""],[0,""img/obj5.png"",""img/obj11.png""],[""img/obj8.png"",""img/obj10.png"",""img/obj12.png""]]","","","3,2,1,1,3,3,3,1,5","140","","","","","","","","","","",""
"vsl-grid-scene-snap","36","141419","0.0-5.0-0.0-31.0","","","[[""img/obj8.png"",""img/obj10.png"",""img/obj6.png""],[""img/obj2.png"",0,""img/obj3.png""],[0,""img/obj4.png"",0]]","","","3,1,2,1,1,3,1,2,6","77","","","","","","","","","","",""
"vsl-grid-scene-snap","37","144435","0.0-5.0-0.0-32.0","","","[[""img/obj6.png"",0,""img/obj7.png""],[""img/obj3.png"",""img/obj5.png"",0],[0,""img/obj1.png"",""img/obj9.png""]]","","","1,1,2,2,3,4,3,1,5","15","","","","","","","","","","",""
"vsl-grid-scene-snap","38","147451","0.0-5.0-0.0-33.0","","","[[""img/obj2.png"",0,0],[0,""img/obj4.png"",""img/obj11.png""],[""img/obj8.png"",""img/obj10.png"",""img/obj12.png""]]","","","3,2,1,1,3,3,1,1,6","136","","","","","","","","","","",""
"vsl-grid-scene-snap","39","150467","0.0-5.0-0.0-34.0","","","[[""img/obj1.png"",""img/obj9.png"",""img/obj7.png""],[""img/obj11.png"",""img/obj5.png"",0],[""img/obj12.png"",0,0]]","","","1,2,1,1,1,4,3,1,5","66","","","","","","","","","","",""
"vsl-grid-scene-snap","40","153484","0.0-5.0-0.0-35.0","","","[[""img/obj8.png"",""img/obj10.png"",0],[0,""img/obj7.png"",""img/obj11.png""],[""img/obj5.png"",0,""img/obj12.png""]]","","","3,2,1,1,1,3,2,2,5","108","","","","","","","","","","",""
"vsl-grid-scene-snap","41","156499","0.0-5.0-0.0-36.0","","","[[0,0,""img/obj11.png""],[0,""img/obj2.png"",""img/obj12.png""],[""img/obj1.png"",""img/obj9.png"",""img/obj4.png""]]","","","3,1,1,1,3,4,2,2,6","106","","","","","","","","","","",""
"vsl-grid-scene-snap","42","159515","0.0-5.0-0.0-37.0","","","[[""img/obj2.png"",""img/obj1.png"",""img/obj9.png""],[0,""img/obj4.png"",""img/obj11.png""],[0,0,""img/obj12.png""]]","","","3,2,1,2,1,4,1,1,6","130","","","","","","","","","","",""
"vsl-grid-scene-snap","43","162531","0.0-5.0-0.0-38.0","","","[[""img/obj2.png"",""img/obj1.png"",""img/obj9.png""],[""img/obj6.png"",""img/obj4.png"",0],[""img/obj3.png"",0,0]]","","","1,2,2,2,1,4,1,1,6","43","","","","","","","","","","",""
"vsl-grid-scene-snap","44","165547","0.0-5.0-0.0-39.0","","","[[""img/obj6.png"",0,0],[""img/obj3.png"",""img/obj2.png"",0],[""img/obj1.png"",""img/obj9.png"",""img/obj4.png""]]","","","1,1,2,1,3,4,2,2,6","35","","","","","","","","","","",""
"vsl-grid-scene-snap","45","168563","0.0-5.0-0.0-40.0","","","[[""img/obj2.png"",0,""img/obj11.png""],[0,""img/obj4.png"",""img/obj12.png""],[""img/obj8.png"",""img/obj10.png"",0]]","","","3,1,1,1,3,3,1,1,6","100","","","","","","","","","","",""
"vsl-grid-scene-snap","46","171579","0.0-5.0-0.0-41.0","","","[[""img/obj2.png"",""img/obj1.png"",""img/obj9.png""],[""img/obj11.png"",""img/obj4.png"",0],[""img/obj12.png"",0,0]]","","","1,2,1,2,1,4,1,1,6","42","","","","","","","","","","",""
"vsl-grid-scene-snap","47","174595","0.0-5.0-0.0-42.0","","","[[""img/obj6.png"",0,0],[""img/obj3.png"",""img/obj7.png"",0],[""img/obj5.png"",""img/obj8.png"",""img/obj10.png""]]","","","1,1,2,2,3,3,2,2,5","17","","","","","","","","","","",""
"vsl-grid-scene-snap","48","177612","0.0-5.0-0.0-43.0","","","[[0,""img/obj7.png"",0],[""img/obj5.png"",0,""img/obj11.png""],[""img/obj1.png"",""img/obj9.png"",""img/obj12.png""]]","","","3,2,1,1,3,4,2,1,5","134","","","","","","","","","","",""
"vsl-grid-scene-snap","49","180627","0.0-5.0-0.0-44.0","","","[[0,""img/obj1.png"",""img/obj9.png""],[""img/obj11.png"",0,""img/obj7.png""],[""img/obj12.png"",""img/obj5.png"",0]]","","","1,2,1,2,1,4,3,2,5","38","","","","","","","","","","",""
"vsl-grid-scene-snap","50","183643","0.0-5.0-0.0-45.0","","","[[""img/obj2.png"",""img/obj8.png"",""img/obj10.png""],[""img/obj11.png"",""img/obj4.png"",0],[""img/obj12.png"",0,0]]","","","1,2,1,2,1,3,1,1,6","40","","","","","","","","","","",""
"vsl-grid-scene-snap","51","186659","0.0-5.0-0.0-46.0","","","[[0,""img/obj7.png"",0],[""img/obj5.png"",0,""img/obj6.png""],[""img/obj1.png"",""img/obj9.png"",""img/obj3.png""]]","","","3,2,2,1,3,4,2,1,5","135","","","","","","","","","","",""
"vsl-grid-scene-snap","52","189676","0.0-5.0-0.0-47.0","","","[[0,0,""img/obj7.png""],[0,""img/obj5.png"",""img/obj6.png""],[""img/obj8.png"",""img/obj10.png"",""img/obj3.png""]]","","","3,2,2,1,3,3,3,1,5","141","","","","","","","","","","",""
"vsl-grid-attention-check","53","192617","0.0-5.0-1.0-0.0-0.0","","1932.7000000178814","[[""img/square.png"",""img/square.png"",""img/square.png""],[0,""img/attention.png"",""img/square.png""],[""img/square.png"",0,0]]","","","","","32","","","","","","","","","",""
"html-keyboard-response","54","193619","0.0-5.0-1.0-1.0","","null"," ","","","","","null","","","","","","","","","",""
"vsl-grid-scene-snap","55","195627","0.0-5.0-2.0-0.0","","","[[""img/obj1.png"",""img/obj9.png"",""img/obj6.png""],[0,""img/obj7.png"",""img/obj3.png""],[""img/obj5.png"",0,0]]","","","3,1,2,1,1,4,2,2,5","75","","","","","","","","","","",""
"vsl-grid-scene-snap","56","198643","0.0-5.0-2.0-1.0","","","[[""img/obj11.png"",""img/obj2.png"",0],[""img/obj12.png"",0,""img/obj4.png""],[""img/obj8.png"",""img/obj10.png"",0]]","","","1,1,1,1,3,3,2,1,6","28","","","","","","","","","","",""
"vsl-grid-scene-snap","57","201659","0.0-5.0-2.0-2.0","","","[[""img/obj1.png"",""img/obj9.png"",0],[""img/obj6.png"",""img/obj2.png"",0],[""img/obj3.png"",0,""img/obj4.png""]]","","","1,2,2,1,1,4,2,2,6","71","","","","","","","","","","",""
"vsl-grid-scene-snap","58","204675","0.0-5.0-2.0-3.0","","","[[""img/obj6.png"",""img/obj1.png"",""img/obj9.png""],[""img/obj3.png"",""img/obj2.png"",0],[0,0,""img/obj4.png""]]","","","1,1,2,2,1,4,2,2,6","11","","","","","","","","","","",""
"vsl-grid-scene-snap","59","207691","0.0-5.0-2.0-4.0","","","[[""img/obj2.png"",0,0],[""img/obj6.png"",""img/obj4.png"",0],[""img/obj3.png"",""img/obj8.png"",""img/obj10.png""]]","","","1,2,2,2,3,3,1,1,6","57","","","","","","","","","","",""
"vsl-grid-scene-snap","60","210707","0.0-5.0-2.0-5.0","","","[[0,""img/obj8.png"",""img/obj10.png""],[""img/obj6.png"",0,""img/obj7.png""],[""img/obj3.png"",""img/obj5.png"",0]]","","","1,2,2,2,1,3,3,2,5","37","","","","","","","","","","",""
"vsl-grid-scene-snap","61","213723","0.0-5.0-2.0-6.0","","","[[""img/obj1.png"",""img/obj9.png"",""img/obj11.png""],[""img/obj2.png"",0,""img/obj12.png""],[0,""img/obj4.png"",0]]","","","3,1,1,1,1,4,1,2,6","78","","","","","","","","","","",""
"vsl-grid-scene-snap","62","216731","0.0-5.0-2.0-7.0","","","[[""img/obj6.png"",0,""img/obj7.png""],[""img/obj3.png"",""img/obj5.png"",0],[""img/obj8.png"",""img/obj10.png"",0]]","","","1,1,2,1,3,3,3,1,5","25","","","","","","","","","","",""
"vsl-grid-scene-snap","63","219747","0.0-5.0-2.0-8.0","","","[[0,0,""img/obj7.png""],[""img/obj11.png"",""img/obj5.png"",0],[""img/obj12.png"",""img/obj8.png"",""img/obj10.png""]]","","","1,2,1,2,3,3,3,1,5","48","","","","","","","","","","",""
"vsl-grid-scene-snap","64","222763","0.0-5.0-2.0-9.0","","","[[""img/obj8.png"",""img/obj10.png"",""img/obj7.png""],[0,""img/obj5.png"",""img/obj6.png""],[0,0,""img/obj3.png""]]","","","3,2,2,1,1,3,3,1,5","117","","","","","","","","","","",""
"vsl-grid-scene-snap","65","225779","0.0-5.0-2.0-10.0","","","[[""img/obj1.png"",""img/obj9.png"",""img/obj7.png""],[0,""img/obj5.png"",""img/obj11.png""],[0,0,""img/obj12.png""]]","","","3,2,1,1,1,4,3,1,5","118","","","","","","","","","","",""
"vsl-grid-scene-snap","66","228787","0.0-5.0-2.0-11.0","","","[[""img/obj6.png"",0,0],[""img/obj3.png"",""img/obj2.png"",0],[""img/obj8.png"",""img/obj10.png"",""img/obj4.png""]]","","","1,1,2,1,3,3,2,2,6","33","","","","","","","","","","",""
