"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","button_pressed","responses","training_vector","training_matrixRow","key_press","test_part","correct_response","test_number","test_vector","correct","image_switchboard","scene_order","participant","study","session"
"pavlovia","0","4","0.0-0.0","","","","","","","","","","","","","","","","","",""
"fullscreen","1","15092","0.0-1.0","true","","","","","","","","","","","","","","","","",""
"html-button-response","2","31244","0.0-2.0","","16148.399999976158","<p style=""text-align: justify;margin-left: 15%; margin-right:15%"">You are participating in an experiment at the Vision Lab of the Department of Cognitive Science, Central European University.  One of our main questions is what kind of representations we can create about our visual environment and how these representations influence our behavior. At our lab we use multiple methods, for example behavioral experiments and computational models. In this experiment you will observe scenes consisting of abstract shapes and answer simple questions about them. <br><br>At the beginning and throughout the experiment you will receive precise information about what to do. The experiment takes about 25 minutes in total. <br><br>The test is voluntary, and you can withdraw your participation at any time. We treat your personal information confidentially. <br>Only those people who work on this research project have access to your data. We will work with group level statistics. We will only report the results of the group in scientific publications and conferences. This research was approved by the Hungarian Psychological Research Ethics Committee.<br><br>If you have any further questions about the study, you can contact the experimenter, Beata Tunde Szabo, PhD Student. Contact: 1051 Nador u. 11. E-mail: szabo_beata-tunde@phd.ceu.edu <br><br>By pressing the button below you indicate that you read this information, found it sufficent, and you consent to participate in the experiment. <br><br> </p>","0","","","","","","","","","","","","","",""
"survey-html-form","3","39035","0.0-3.0","","7789.200000047684","","","{""Age"":""48"",""gender"":""Male"",""gender_other"":""""}","","","","","","","","","","","","",""
"html-button-response","4","58118","0.0-4.0","","19082.200000047684","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your practice session. You will see a checkerboard with random simple shapes appearing in different positions in the checkerboard. Your task is simply to observe the patterns so that you would be able to answer some questions about the sequence after the practice session.  The session will last for about 15 minutes.  Please, pay attention to EACH display! <br><br>Occasionally, there will be an attention check asking you to press the spacebar. ","0","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","5","60132","0.0-5.0-0.0-0.0","","","[[""img/obj6.png"",""img/obj1.png"",""img/obj5.png""],[""img/obj7.png"",0,""img/obj9.png""],[0,""img/obj4.png"",0]]","","","3,1,2,1,1,4,1,2,6","79","","","","","","","","","","",""
"vsl-grid-scene-snap","6","63140","0.0-5.0-0.0-1.0","","","[[""img/obj7.png"",0,""img/obj5.png""],[0,""img/obj4.png"",""img/obj9.png""],[""img/obj11.png"",""img/obj2.png"",0]]","","","3,1,2,1,3,3,1,1,6","101","","","","","","","","","","",""
"vsl-grid-scene-snap","7","66159","0.0-5.0-0.0-2.0","","","[[""img/obj8.png"",""img/obj7.png"",0],[""img/obj12.png"",0,""img/obj4.png""],[0,""img/obj6.png"",""img/obj1.png""]]","","","1,1,1,2,3,4,2,1,6","22","","","","","","","","","","",""
"vsl-grid-scene-snap","8","69179","0.0-5.0-0.0-3.0","","","[[0,0,""img/obj5.png""],[0,""img/obj7.png"",""img/obj9.png""],[""img/obj6.png"",""img/obj1.png"",""img/obj4.png""]]","","","3,1,2,1,3,4,2,2,6","107","","","","","","","","","","",""
"vsl-grid-scene-snap","9","72189","0.0-5.0-0.0-4.0","","","[[0,0,""img/obj10.png""],[0,""img/obj3.png"",""img/obj8.png""],[""img/obj11.png"",""img/obj2.png"",""img/obj12.png""]]","","","3,2,1,1,3,3,3,1,5","140","","","","","","","","","","",""
"vsl-grid-scene-snap","10","75200","0.0-5.0-0.0-5.0","","","[[0,""img/obj6.png"",""img/obj1.png""],[""img/obj5.png"",0,""img/obj10.png""],[""img/obj9.png"",""img/obj3.png"",0]]","","","1,2,2,2,1,4,3,2,5","39","","","","","","","","","","",""
"vsl-grid-scene-snap","11","78210","0.0-5.0-0.0-6.0","","","[[""img/obj6.png"",""img/obj1.png"",""img/obj5.png""],[0,""img/obj10.png"",""img/obj9.png""],[""img/obj3.png"",0,0]]","","","3,1,2,1,1,4,2,2,5","75","","","","","","","","","","",""
"vsl-grid-scene-snap","12","81221","0.0-5.0-0.0-7.0","","","[[""img/obj6.png"",""img/obj1.png"",""img/obj10.png""],[0,""img/obj3.png"",""img/obj8.png""],[0,0,""img/obj12.png""]]","","","3,2,1,1,1,4,3,1,5","118","","","","","","","","","","",""
"vsl-grid-scene-snap","13","84234","0.0-5.0-0.0-8.0","","","[[""img/obj7.png"",0,0],[""img/obj5.png"",""img/obj4.png"",0],[""img/obj9.png"",""img/obj11.png"",""img/obj2.png""]]","","","1,2,2,2,3,3,1,1,6","57","","","","","","","","","","",""
"vsl-grid-scene-snap","14","87246","0.0-5.0-0.0-9.0","","","[[0,""img/obj10.png"",""img/obj5.png""],[""img/obj3.png"",0,""img/obj9.png""],[""img/obj6.png"",""img/obj1.png"",0]]","","","3,1,2,1,3,4,2,1,5","99","","","","","","","","","","",""
"vsl-grid-scene-snap","15","90257","0.0-5.0-0.0-10.0","","","[[0,""img/obj10.png"",""img/obj5.png""],[""img/obj3.png"",0,""img/obj9.png""],[0,""img/obj11.png"",""img/obj2.png""]]","","","3,1,2,2,3,3,2,1,5","89","","","","","","","","","","",""
"vsl-grid-scene-snap","16","93268","0.0-5.0-0.0-11.0","","","[[0,""img/obj11.png"",""img/obj2.png""],[""img/obj8.png"",""img/obj7.png"",0],[""img/obj12.png"",0,""img/obj4.png""]]","","","1,2,1,2,1,3,2,2,6","44","","","","","","","","","","",""
