"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","button_pressed","responses","training_vector","training_matrixRow","key_press","test_part","correct_response","test_number","test_vector","correct","image_switchboard","scene_order","participant","study","session"
"pavlovia","0","6","0.0-0.0","","","","","","","","","","","","","","","","","",""
"fullscreen","1","2840","0.0-1.0","true","","","","","","","","","","","","","","","","",""
"html-button-response","2","12113","0.0-2.0","","9269.600000023842","<p style=""text-align: justify;margin-left: 15%; margin-right:15%"">You are participating in an experiment at the Vision Lab of the Department of Cognitive Science, Central European University.  One of our main questions is what kind of representations we can create about our visual environment and how these representations influence our behavior. At our lab we use multiple methods, for example behavioral experiments and computational models. In this experiment you will observe scenes consisting of abstract shapes and answer simple questions about them. <br><br>At the beginning and throughout the experiment you will receive precise information about what to do. The experiment takes about 25 minutes in total. <br><br>The test is voluntary, and you can withdraw your participation at any time. We treat your personal information confidentially. <br>Only those people who work on this research project have access to your data. We will work with group level statistics. We will only report the results of the group in scientific publications and conferences. This research was approved by the Hungarian Psychological Research Ethics Committee.<br><br>If you have any further questions about the study, you can contact the experimenter, Beata Tunde Szabo, PhD Student. Contact: 1051 Nador u. 11. E-mail: szabo_beata-tunde@phd.ceu.edu <br><br>By pressing the button below you indicate that you read this information, found it sufficent, and you consent to participate in the experiment. <br><br> </p>","0","","","","","","","","","","","","","",""
"survey-html-form","3","17671","0.0-3.0","","5556.5","","","{""Age"":""22"",""gender"":""Male"",""gender_other"":""""}","","","","","","","","","","","","",""
"html-button-response","4","51790","0.0-4.0","","34116.89999997616","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your practice session. You will see a checkerboard with random simple shapes appearing in different positions in the checkerboard. Your task is simply to observe the patterns so that you would be able to answer some questions about the sequence after the practice session.  The session will last for about 15 minutes.  Please, pay attention to EACH display! <br><br>Occasionally, there will be an attention check asking you to press the spacebar. ","0","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","5","53814","0.0-5.0-0.0-0.0","","","[[0,""img/obj4.png"",""img/obj5.png""],[""img/obj3.png"",0,""img/obj1.png""],[0,""img/obj2.png"",""img/obj7.png""]]","","","3,2,1,2,1,3,1,2,6","124","","","","","","","","","","",""
"vsl-grid-scene-snap","6","56822","0.0-5.0-0.0-1.0","","","[[""img/obj1.png"",0,0],[""img/obj7.png"",""img/obj6.png"",0],[""img/obj12.png"",""img/obj9.png"",""img/obj10.png""]]","","","1,1,1,2,3,4,2,2,5","18","","","","","","","","","","",""
"vsl-grid-scene-snap","7","59849","0.0-5.0-0.0-2.0","","","[[0,""img/obj6.png"",""img/obj1.png""],[""img/obj12.png"",0,""img/obj7.png""],[0,""img/obj9.png"",""img/obj10.png""]]","","","3,1,1,2,3,4,2,1,5","90","","","","","","","","","","",""
"vsl-grid-scene-snap","8","62857","0.0-5.0-0.0-3.0","","","[[""img/obj8.png"",""img/obj9.png"",""img/obj10.png""],[""img/obj11.png"",""img/obj3.png"",0],[0,0,""img/obj2.png""]]","","","1,1,2,2,1,4,2,2,6","11","","","","","","","","","","",""
"vsl-grid-scene-snap","9","65879","0.0-5.0-0.0-4.0","","","[[0,""img/obj4.png"",""img/obj5.png""],[""img/obj1.png"",""img/obj3.png"",0],[""img/obj7.png"",0,""img/obj2.png""]]","","","1,2,1,2,1,3,2,2,6","44","","","","","","","","","","",""
"vsl-grid-scene-snap","10","68892","0.0-5.0-0.0-5.0","","","[[""img/obj4.png"",""img/obj5.png"",0],[0,""img/obj6.png"",""img/obj1.png""],[""img/obj12.png"",0,""img/obj7.png""]]","","","3,2,1,1,1,3,2,2,5","108","","","","","","","","","","",""
"vsl-grid-scene-snap","11","71901","0.0-5.0-0.0-6.0","","","[[0,0,""img/obj6.png""],[""img/obj1.png"",""img/obj12.png"",0],[""img/obj7.png"",""img/obj9.png"",""img/obj10.png""]]","","","1,2,1,2,3,4,3,1,5","50","","","","","","","","","","",""
"vsl-grid-scene-snap","12","74917","0.0-5.0-0.0-7.0","","","[[""img/obj8.png"",""img/obj3.png"",0],[""img/obj11.png"",0,""img/obj2.png""],[""img/obj9.png"",""img/obj10.png"",0]]","","","1,1,2,1,3,4,2,1,6","31","","","","","","","","","","",""
"vsl-grid-scene-snap","13","77930","0.0-5.0-0.0-8.0","","","[[0,""img/obj6.png"",""img/obj8.png""],[""img/obj12.png"",0,""img/obj11.png""],[""img/obj9.png"",""img/obj10.png"",0]]","","","3,1,2,1,3,4,2,1,5","99","","","","","","","","","","",""
"vsl-grid-scene-snap","14","80937","0.0-5.0-0.0-9.0","","","[[0,0,""img/obj8.png""],[0,""img/obj3.png"",""img/obj11.png""],[""img/obj9.png"",""img/obj10.png"",""img/obj2.png""]]","","","3,1,2,1,3,4,2,2,6","107","","","","","","","","","","",""
"vsl-grid-scene-snap","15","83950","0.0-5.0-0.0-10.0","","","[[""img/obj9.png"",""img/obj10.png"",0],[""img/obj1.png"",0,""img/obj6.png""],[""img/obj7.png"",""img/obj12.png"",0]]","","","1,2,1,1,1,4,3,2,5","62","","","","","","","","","","",""
"vsl-grid-scene-snap","16","86974","0.0-5.0-0.0-11.0","","","[[""img/obj4.png"",""img/obj5.png"",0],[0,""img/obj6.png"",""img/obj8.png""],[""img/obj12.png"",0,""img/obj11.png""]]","","","3,2,2,1,1,3,2,2,5","109","","","","","","","","","","",""
"vsl-grid-scene-snap","17","90001","0.0-5.0-0.0-12.0","","","[[""img/obj4.png"",""img/obj5.png"",0],[""img/obj1.png"",0,""img/obj6.png""],[""img/obj7.png"",""img/obj12.png"",0]]","","","1,2,1,1,1,3,3,2,5","60","","","","","","","","","","",""
"vsl-grid-scene-snap","18","93011","0.0-5.0-0.0-13.0","","","[[""img/obj1.png"",0,0],[""img/obj7.png"",""img/obj6.png"",0],[""img/obj12.png"",""img/obj4.png"",""img/obj5.png""]]","","","1,1,1,2,3,3,2,2,5","16","","","","","","","","","","",""
"vsl-grid-scene-snap","19","96030","0.0-5.0-0.0-14.0","","","[[""img/obj4.png"",""img/obj5.png"",0],[""img/obj3.png"",0,""img/obj1.png""],[0,""img/obj2.png"",""img/obj7.png""]]","","","3,2,1,1,1,3,1,2,6","112","","","","","","","","","","",""
"vsl-grid-scene-snap","20","99052","0.0-5.0-0.0-15.0","","","[[""img/obj8.png"",0,0],[""img/obj11.png"",""img/obj3.png"",0],[""img/obj9.png"",""img/obj10.png"",""img/obj2.png""]]","","","1,1,2,1,3,4,2,2,6","35","","","","","","","","","","",""
"vsl-grid-scene-snap","21","102077","0.0-5.0-0.0-16.0","","","[[""img/obj8.png"",""img/obj4.png"",""img/obj5.png""],[""img/obj11.png"",0,""img/obj6.png""],[0,""img/obj12.png"",0]]","","","1,1,2,2,1,3,3,2,5","1","","","","","","","","","","",""
"vsl-grid-scene-snap","22","105092","0.0-5.0-0.0-17.0","","","[[0,""img/obj4.png"",""img/obj5.png""],[0,""img/obj6.png"",""img/obj1.png""],[""img/obj12.png"",0,""img/obj7.png""]]","","","3,2,1,2,1,3,2,2,5","120","","","","","","","","","","",""
"vsl-grid-scene-snap","23","108107","0.0-5.0-0.0-18.0","","","[[""img/obj9.png"",""img/obj10.png"",""img/obj6.png""],[""img/obj8.png"",""img/obj12.png"",0],[""img/obj11.png"",0,0]]","","","1,2,2,1,1,4,3,1,5","67","","","","","","","","","","",""
"vsl-grid-scene-snap","24","111119","0.0-5.0-0.0-19.0","","","[[""img/obj1.png"",""img/obj3.png"",0],[""img/obj7.png"",0,""img/obj2.png""],[0,""img/obj9.png"",""img/obj10.png""]]","","","1,1,1,2,3,4,2,1,6","22","","","","","","","","","","",""
"vsl-grid-scene-snap","25","114136","0.0-5.0-0.0-20.0","","","[[""img/obj3.png"",0,""img/obj1.png""],[0,""img/obj2.png"",""img/obj7.png""],[""img/obj4.png"",""img/obj5.png"",0]]","","","3,1,1,1,3,3,1,1,6","100","","","","","","","","","","",""
