"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","button_pressed","responses","training_vector","training_matrixRow","key_press","test_part","correct_response","test_number","test_vector","correct","image_switchboard","scene_order","participant","study","session"
"pavlovia","0","2","0.0-0.0","","","","","","","","","","","","","","","","","",""
"fullscreen","1","5054","0.0-1.0","true","","","","","","","","","","","","","","","","",""
"html-button-response","2","31182","0.0-2.0","","26125.200000286102","<p style=""text-align: justify;margin-left: 15%; margin-right:15%"">You are participating in an experiment at the Vision Lab of the Department of Cognitive Science, Central European University.  One of our main questions is what kind of representations we can create about our visual environment and how these representations influence our behavior. At our lab we use multiple methods, for example behavioral experiments and computational models. In this experiment you will observe scenes consisting of abstract shapes and answer simple questions about them. <br><br>At the beginning and throughout the experiment you will receive precise information about what to do. The experiment takes about 25 minutes in total. <br><br>The test is voluntary, and you can withdraw your participation at any time. We treat your personal information confidentially. <br>Only those people who work on this research project have access to your data. We will work with group level statistics. We will only report the results of the group in scientific publications and conferences. This research was approved by the Hungarian Psychological Research Ethics Committee.<br><br>If you have any further questions about the study, you can contact the experimenter, Beata Tunde Szabo, PhD Student. Contact: 1051 Nador u. 11. E-mail: szabo_beata-tunde@phd.ceu.edu <br><br>By pressing the button below you indicate that you read this information, found it sufficent, and you consent to participate in the experiment. <br><br> </p>","0","","","","","","","","","","","","","",""
"survey-html-form","3","38654","0.0-3.0","","7470.10000038147","","","{""Age"":""53"",""gender"":""Male"",""gender_other"":""""}","","","","","","","","","","","","",""
"html-button-response","4","56009","0.0-4.0","","17352.900000095367","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your practice session. You will see a checkerboard with random simple shapes appearing in different positions in the checkerboard. Your task is simply to observe the patterns so that you would be able to answer some questions about the sequence after the practice session.  The session will last for about 15 minutes.  Please, pay attention to EACH display! <br><br>Occasionally, there will be an attention check asking you to press the spacebar. ","0","","","","","","","","","","","","","",""
"vsl-grid-scene-snap","5","58021","0.0-5.0-0.0-0.0","","","[[""img/obj3.png"",""img/obj11.png"",""img/obj7.png""],[""img/obj6.png"",0,""img/obj1.png""],[0,""img/obj2.png"",0]]","","","3,1,2,1,1,3,1,2,6","77","","","","","","","","","","",""
"vsl-grid-scene-snap","6","61034","0.0-5.0-0.0-1.0","","","[[""img/obj5.png"",""img/obj9.png"",0],[""img/obj10.png"",0,""img/obj8.png""],[""img/obj4.png"",""img/obj12.png"",0]]","","","1,2,1,1,1,4,3,2,5","62","","","","","","","","","","",""
"vsl-grid-scene-snap","7","64053","0.0-5.0-0.0-2.0","","","[[0,0,""img/obj8.png""],[""img/obj7.png"",""img/obj12.png"",0],[""img/obj1.png"",""img/obj3.png"",""img/obj11.png""]]","","","1,2,2,2,3,3,3,1,5","49","","","","","","","","","","",""
"vsl-grid-scene-snap","8","67073","0.0-5.0-0.0-3.0","","","[[""img/obj7.png"",0,0],[""img/obj1.png"",""img/obj8.png"",0],[""img/obj12.png"",""img/obj5.png"",""img/obj9.png""]]","","","1,1,2,2,3,4,2,2,5","19","","","","","","","","","","",""
"vsl-grid-scene-snap","9","70088","0.0-5.0-0.0-4.0","","","[[0,""img/obj8.png"",""img/obj7.png""],[""img/obj12.png"",0,""img/obj1.png""],[0,""img/obj5.png"",""img/obj9.png""]]","","","3,1,2,2,3,4,2,1,5","91","","","","","","","","","","",""
"vsl-grid-scene-snap","10","73120","0.0-5.0-0.0-5.0","","","[[""img/obj10.png"",0,0],[""img/obj4.png"",""img/obj6.png"",0],[""img/obj3.png"",""img/obj11.png"",""img/obj2.png""]]","","","1,1,1,1,3,3,2,2,6","32","","","","","","","","","","",""
"vsl-grid-scene-snap","11","76152","0.0-5.0-0.0-6.0","","","[[""img/obj5.png"",""img/obj9.png"",0],[""img/obj7.png"",0,""img/obj8.png""],[""img/obj1.png"",""img/obj12.png"",0]]","","","1,2,2,1,1,4,3,2,5","63","","","","","","","","","","",""
"vsl-grid-scene-snap","12","79171","0.0-5.0-0.0-7.0","","","[[""img/obj7.png"",0,""img/obj8.png""],[""img/obj1.png"",""img/obj12.png"",0],[0,""img/obj5.png"",""img/obj9.png""]]","","","1,1,2,2,3,4,3,1,5","15","","","","","","","","","","",""
"vsl-grid-scene-snap","13","82187","0.0-5.0-0.0-8.0","","","[[""img/obj10.png"",""img/obj6.png"",0],[""img/obj4.png"",0,""img/obj2.png""],[0,""img/obj5.png"",""img/obj9.png""]]","","","1,1,1,2,3,4,2,1,6","22","","","","","","","","","","",""
"vsl-grid-scene-snap","14","85204","0.0-5.0-0.0-9.0","","","[[""img/obj10.png"",""img/obj5.png"",""img/obj9.png""],[""img/obj4.png"",""img/obj6.png"",0],[0,0,""img/obj2.png""]]","","","1,1,1,2,1,4,2,2,6","10","","","","","","","","","","",""
"vsl-grid-scene-snap","15","88222","0.0-5.0-0.0-10.0","","","[[0,""img/obj8.png"",0],[""img/obj12.png"",0,""img/obj7.png""],[""img/obj5.png"",""img/obj9.png"",""img/obj1.png""]]","","","3,2,2,1,3,4,2,1,5","135","","","","","","","","","","",""
"vsl-grid-scene-snap","16","91239","0.0-5.0-0.0-11.0","","","[[""img/obj6.png"",0,0],[0,""img/obj2.png"",""img/obj7.png""],[""img/obj5.png"",""img/obj9.png"",""img/obj1.png""]]","","","3,2,2,1,3,4,1,1,6","139","","","","","","","","","","",""
"vsl-grid-scene-snap","17","94256","0.0-5.0-0.0-12.0","","","[[0,""img/obj8.png"",""img/obj7.png""],[""img/obj12.png"",0,""img/obj1.png""],[0,""img/obj3.png"",""img/obj11.png""]]","","","3,1,2,2,3,3,2,1,5","89","","","","","","","","","","",""
"vsl-grid-scene-snap","18","97271","0.0-5.0-0.0-13.0","","","[[""img/obj10.png"",0,""img/obj8.png""],[""img/obj4.png"",""img/obj12.png"",0],[0,""img/obj3.png"",""img/obj11.png""]]","","","1,1,1,2,3,3,3,1,5","12","","","","","","","","","","",""
"vsl-grid-scene-snap","19","100292","0.0-5.0-0.0-14.0","","","[[""img/obj10.png"",""img/obj3.png"",""img/obj11.png""],[""img/obj4.png"",""img/obj8.png"",0],[""img/obj12.png"",0,0]]","","","1,1,1,2,1,3,2,2,5","4","","","","","","","","","","",""
"vsl-grid-scene-snap","20","103310","0.0-5.0-0.0-15.0","","","[[0,""img/obj8.png"",""img/obj7.png""],[""img/obj12.png"",0,""img/obj1.png""],[""img/obj5.png"",""img/obj9.png"",0]]","","","3,1,2,1,3,4,2,1,5","99","","","","","","","","","","",""
"vsl-grid-scene-snap","21","106323","0.0-5.0-0.0-16.0","","","[[0,0,""img/obj8.png""],[""img/obj10.png"",""img/obj12.png"",0],[""img/obj4.png"",""img/obj3.png"",""img/obj11.png""]]","","","1,2,1,2,3,3,3,1,5","48","","","","","","","","","","",""
"vsl-grid-scene-snap","22","109339","0.0-5.0-0.0-17.0","","","[[""img/obj7.png"",""img/obj3.png"",""img/obj11.png""],[""img/obj1.png"",""img/obj6.png"",0],[0,0,""img/obj2.png""]]","","","1,1,2,2,1,3,2,2,6","9","","","","","","","","","","",""
"vsl-grid-scene-snap","23","112364","0.0-5.0-0.0-18.0","","","[[0,""img/obj6.png"",0],[""img/obj10.png"",0,""img/obj2.png""],[""img/obj4.png"",""img/obj5.png"",""img/obj9.png""]]","","","1,2,1,2,3,4,2,1,6","54","","","","","","","","","","",""
"vsl-grid-scene-snap","24","115375","0.0-5.0-0.0-19.0","","","[[""img/obj3.png"",""img/obj11.png"",0],[""img/obj10.png"",0,""img/obj8.png""],[""img/obj4.png"",""img/obj12.png"",0]]","","","1,2,1,1,1,3,3,2,5","60","","","","","","","","","","",""
"vsl-grid-scene-snap","25","118392","0.0-5.0-0.0-20.0","","","[[""img/obj3.png"",""img/obj11.png"",0],[""img/obj6.png"",0,""img/obj7.png""],[0,""img/obj2.png"",""img/obj1.png""]]","","","3,2,2,1,1,3,1,2,6","113","","","","","","","","","","",""
"vsl-grid-scene-snap","26","121408","0.0-5.0-0.0-21.0","","","[[""img/obj10.png"",""img/obj3.png"",""img/obj11.png""],[""img/obj4.png"",""img/obj6.png"",0],[0,0,""img/obj2.png""]]","","","1,1,1,2,1,3,2,2,6","8","","","","","","","","","","",""
"vsl-grid-scene-snap","27","124432","0.0-5.0-0.0-22.0","","","[[""img/obj6.png"",""img/obj3.png"",""img/obj11.png""],[0,""img/obj2.png"",""img/obj10.png""],[0,0,""img/obj4.png""]]","","","3,2,1,2,1,3,1,1,6","128","","","","","","","","","","",""
"vsl-grid-scene-snap","28","127443","0.0-5.0-0.0-23.0","","","[[0,""img/obj6.png"",0],[""img/obj7.png"",0,""img/obj2.png""],[""img/obj1.png"",""img/obj3.png"",""img/obj11.png""]]","","","1,2,2,2,3,3,2,1,6","53","","","","","","","","","","",""
"vsl-grid-scene-snap","29","130462","0.0-5.0-0.0-24.0","","","[[""img/obj10.png"",""img/obj3.png"",""img/obj11.png""],[""img/obj4.png"",0,""img/obj8.png""],[0,""img/obj12.png"",0]]","","","1,1,1,2,1,3,3,2,5","0","","","","","","","","","","",""
"vsl-grid-scene-snap","30","133478","0.0-5.0-0.0-25.0","","","[[0,""img/obj3.png"",""img/obj11.png""],[""img/obj6.png"",0,""img/obj10.png""],[0,""img/obj2.png"",""img/obj4.png""]]","","","3,2,1,2,1,3,1,2,6","124","","","","","","","","","","",""
"vsl-grid-scene-snap","31","136500","0.0-5.0-0.0-26.0","","","[[""img/obj5.png"",""img/obj9.png"",""img/obj8.png""],[0,""img/obj12.png"",""img/obj7.png""],[0,0,""img/obj1.png""]]","","","3,2,2,1,1,4,3,1,5","119","","","","","","","","","","",""
"vsl-grid-scene-snap","32","139515","0.0-5.0-0.0-27.0","","","[[""img/obj7.png"",0,0],[""img/obj1.png"",""img/obj8.png"",0],[""img/obj12.png"",""img/obj3.png"",""img/obj11.png""]]","","","1,1,2,2,3,3,2,2,5","17","","","","","","","","","","",""
"vsl-grid-scene-snap","33","142530","0.0-5.0-0.0-28.0","","","[[""img/obj6.png"",""img/obj5.png"",""img/obj9.png""],[0,""img/obj2.png"",""img/obj10.png""],[0,0,""img/obj4.png""]]","","","3,2,1,2,1,4,1,1,6","130","","","","","","","","","","",""
"vsl-grid-scene-snap","34","145548","0.0-5.0-0.0-29.0","","","[[""img/obj5.png"",""img/obj9.png"",""img/obj7.png""],[0,""img/obj6.png"",""img/obj1.png""],[0,0,""img/obj2.png""]]","","","3,1,2,1,1,4,2,2,6","83","","","","","","","","","","",""
"vsl-grid-scene-snap","35","148569","0.0-5.0-0.0-30.0","","","[[0,""img/obj3.png"",""img/obj11.png""],[0,""img/obj8.png"",""img/obj7.png""],[""img/obj12.png"",0,""img/obj1.png""]]","","","3,2,2,2,1,3,2,2,5","121","","","","","","","","","","",""
