"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","response"
"pavlovia","0","883","0.0-0.0","","","",""
"fullscreen","1","3628","0.0-1.0","true","1735","",""
"html-button-response","2","6856","0.0-2.0","","3216","<p style=""text-align: justify;margin-left: 15%; margin-right:15%"">You are participating in an experiment at the Vision Lab of the Department of Cognitive Science, Central European University.  One of our main questions is what kind of representations we can create about our visual environment and how these representations influence our behavior. At our lab we use multiple methods, for example behavioral experiments and computational models. In this experiment you will observe scenes consisting of abstract shapes and answer simple questions about them. <br><br>At the beginning and throughout the experiment you will receive precise information about what to do. The experiment takes about 25 minutes in total. <br><br>The test is voluntary, and you can withdraw your participation at any time. We treat your personal information confidentially. <br>Only those people who work on this research project have access to your data. We will work with group level statistics. We will only report the results of the group in scientific publications and conferences. This research was approved by the Hungarian Psychological Research Ethics Committee.<br><br>If you have any further questions about the study, you can contact the experimenter, Beata Tunde Szabo, PhD Student. Contact: 1051 Nador u. 11. E-mail: szabo_beata-tunde@phd.ceu.edu <br><br>By pressing the button below you indicate that you read this information, found it sufficent, and you consent to participate in the experiment. <br><br> </p>","0"
"html-button-response","3","16265","0.0-3.0","","9406","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your practice session. You will see a checkerboard with random simple shapes appearing in different positions in the checkerboard. Your task is simply to observe the patterns so that you would be able to answer some questions about the sequence after the practice session.  The session will last for about 13 minutes.  Please, pay attention to EACH display! <br><br>Occasionally, there will be an attention check asking you to press the spacebar. ","0"
"vsl-grid-scene-snap","4","18278","0.0-4.0-0.0-0.0","","","[[0,0,0,0,0],[0,0,""img/obj1.png"",0,0],[""img/obj4.png"",""img/obj11.png"",0,0,0],[0,""img/obj12.png"",""img/obj10.png"",0,0],[0,0,""img/obj8.png"",0,0]]",""
"vsl-grid-scene-snap","5","21283","0.0-4.0-0.0-1.0","","","[[0,""img/obj1.png"",0,0,0],[""img/obj11.png"",""img/obj6.png"",0,0,0],[0,""img/obj10.png"",""img/obj2.png"",0,0],[0,""img/obj9.png"",0,0,0],[0,0,0,0,0]]",""
"vsl-grid-scene-snap","6","24312","0.0-4.0-0.0-2.0","","","[[0,0,0,0,0],[0,""img/obj6.png"",0,0,0],[0,0,""img/obj2.png"",""img/obj5.png"",0],[0,""img/obj9.png"",""img/obj7.png"",0,0],[0,""img/obj3.png"",0,0,0]]",""
"vsl-grid-scene-snap","7","27329","0.0-4.0-0.0-3.0","","","[[0,""img/obj4.png"",0,0,0],[0,0,""img/obj12.png"",""img/obj6.png"",0],[0,0,0,""img/obj8.png"",""img/obj2.png""],[0,0,0,""img/obj9.png"",0],[0,0,0,0,0]]",""
"vsl-grid-scene-snap","8","30345","0.0-4.0-0.0-4.0","","","[[0,0,0,0,0],[""img/obj4.png"",0,0,0,0],[0,""img/obj12.png"",""img/obj6.png"",0,0],[0,0,""img/obj8.png"",""img/obj2.png"",0],[0,0,""img/obj9.png"",0,0]]",""
"vsl-grid-scene-snap","9","33378","0.0-4.0-0.0-5.0","","","[[0,0,0,0,0],[0,0,0,""img/obj5.png"",""img/obj1.png""],[0,0,""img/obj7.png"",""img/obj11.png"",0],[0,""img/obj3.png"",0,0,""img/obj10.png""],[0,0,0,0,0]]",""
"vsl-grid-scene-snap","10","36398","0.0-4.0-0.0-6.0","","","[[0,0,0,0,0],[0,0,0,0,0],[0,""img/obj4.png"",0,0,""img/obj5.png""],[0,0,""img/obj12.png"",""img/obj7.png"",0],[0,0,""img/obj3.png"",""img/obj8.png"",0]]",""
"vsl-grid-scene-snap","11","39412","0.0-4.0-0.0-7.0","","","[[0,""img/obj4.png"",""img/obj1.png"",0,0],[0,""img/obj11.png"",""img/obj12.png"",0,0],[0,0,""img/obj10.png"",""img/obj8.png"",0],[0,0,0,0,0],[0,0,0,0,0]]",""
"vsl-grid-scene-snap","12","42437","0.0-4.0-0.0-8.0","","","[[0,0,0,0,0],[0,0,0,""img/obj6.png"",""img/obj5.png""],[0,0,0,""img/obj7.png"",""img/obj2.png""],[0,0,""img/obj3.png"",""img/obj9.png"",0],[0,0,0,0,0]]",""
"vsl-grid-scene-snap","13","45462","0.0-4.0-0.0-9.0","","","[[0,0,0,0,0],[0,""img/obj4.png"",0,0,0],[0,""img/obj6.png"",""img/obj12.png"",0,0],[0,0,""img/obj2.png"",""img/obj8.png"",0],[0,""img/obj9.png"",0,0,0]]",""
"vsl-grid-scene-snap","14","48479","0.0-4.0-0.0-10.0","","","[[0,0,0,""img/obj6.png"",0],[0,0,0,""img/obj5.png"",""img/obj2.png""],[0,0,""img/obj7.png"",""img/obj9.png"",0],[0,""img/obj3.png"",0,0,0],[0,0,0,0,0]]",""
"vsl-grid-scene-snap","15","51497","0.0-4.0-0.0-11.0","","","[[0,0,""img/obj1.png"",0,0],[0,""img/obj11.png"",""img/obj4.png"",0,0],[0,0,""img/obj10.png"",""img/obj12.png"",0],[0,0,0,0,""img/obj8.png""],[0,0,0,0,0]]",""
"vsl-grid-scene-snap","16","54512","0.0-4.0-0.0-12.0","","","[[0,0,0,0,0],[""img/obj6.png"",0,0,0,0],[0,""img/obj2.png"",""img/obj1.png"",0,0],[""img/obj9.png"",""img/obj11.png"",0,0,0],[0,0,""img/obj10.png"",0,0]]",""
"vsl-grid-scene-snap","17","57537","0.0-4.0-0.0-13.0","","","[[0,0,0,""img/obj1.png"",0],[0,""img/obj6.png"",""img/obj11.png"",0,0],[0,0,""img/obj2.png"",""img/obj10.png"",0],[0,""img/obj9.png"",0,0,0],[0,0,0,0,0]]",""
"vsl-grid-scene-snap","18","60562","0.0-4.0-0.0-14.0","","","[[0,0,0,0,0],[0,""img/obj4.png"",""img/obj1.png"",0,0],[0,""img/obj11.png"",""img/obj12.png"",0,0],[0,0,""img/obj10.png"",""img/obj8.png"",0],[0,0,0,0,0]]",""
"vsl-grid-scene-snap","19","63579","0.0-4.0-0.0-15.0","","","[[0,0,0,""img/obj5.png"",0],[0,0,""img/obj7.png"",""img/obj1.png"",0],[0,""img/obj3.png"",""img/obj11.png"",0,0],[0,0,0,""img/obj10.png"",0],[0,0,0,0,0]]",""
"vsl-grid-scene-snap","20","66599","0.0-4.0-0.0-16.0","","","[[0,0,0,0,0],[0,""img/obj4.png"",0,0,0],[0,0,""img/obj12.png"",""img/obj6.png"",0],[0,0,0,""img/obj8.png"",""img/obj2.png""],[0,0,0,""img/obj9.png"",0]]",""
"vsl-grid-scene-snap","21","69614","0.0-4.0-0.0-17.0","","","[[0,""img/obj4.png"",0,0,0],[0,0,""img/obj12.png"",""img/obj1.png"",0],[0,0,""img/obj11.png"",""img/obj8.png"",0],[0,0,0,""img/obj10.png"",0],[0,0,0,0,0]]",""
"vsl-grid-scene-snap","22","72622","0.0-4.0-0.0-18.0","","","[[0,0,0,""img/obj6.png"",0],[0,0,0,0,""img/obj2.png""],[0,0,0,""img/obj9.png"",""img/obj5.png""],[0,0,0,""img/obj7.png"",0],[0,0,""img/obj3.png"",0,0]]",""
"vsl-grid-scene-snap","23","75644","0.0-4.0-0.0-19.0","","","[[0,0,0,0,0],[0,0,""img/obj4.png"",""img/obj1.png"",0],[0,0,""img/obj11.png"",""img/obj12.png"",0],[0,0,0,""img/obj10.png"",""img/obj8.png""],[0,0,0,0,0]]",""
"vsl-grid-scene-snap","24","78661","0.0-4.0-0.0-20.0","","","[[0,0,""img/obj1.png"",0,0],[0,""img/obj11.png"",0,0,0],[0,""img/obj4.png"",""img/obj10.png"",0,0],[0,0,""img/obj12.png"",0,0],[0,0,0,""img/obj8.png"",0]]",""
"vsl-grid-scene-snap","25","81678","0.0-4.0-0.0-21.0","","","[[0,0,0,0,0],[0,""img/obj6.png"",""img/obj4.png"",0,0],[0,0,""img/obj2.png"",""img/obj12.png"",0],[0,""img/obj9.png"",0,0,""img/obj8.png""],[0,0,0,0,0]]",""
"vsl-grid-scene-snap","26","84701","0.0-4.0-0.0-22.0","","","[[0,0,0,""img/obj1.png"",0],[0,0,""img/obj11.png"",""img/obj5.png"",0],[0,0,""img/obj7.png"",""img/obj10.png"",0],[0,""img/obj3.png"",0,0,0],[0,0,0,0,0]]",""
"vsl-grid-scene-snap","27","87714","0.0-4.0-0.0-23.0","","","[[0,0,0,0,0],[0,""img/obj1.png"",""img/obj5.png"",0,0],[""img/obj11.png"",""img/obj7.png"",0,0,0],[""img/obj3.png"",""img/obj10.png"",0,0,0],[0,0,0,0,0]]",""
