"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","response","test_part","correct_response","test_number","test_scene","patternsize","true_test","correct","subject","image_switchboard","scene_order"
"pavlovia","0","549","0.0-0.0","","","","","","","","","","","","","",""
"fullscreen","1","2469","0.0-1.0","true","907","","","","","","","","","","","",""
"html-button-response","2","4318","0.0-2.0","","1845","<p style=""text-align: justify;margin-left: 15%; margin-right:15%"">You are participating in an experiment at the Vision Lab of the Department of Cognitive Science, Central European University.  One of our main questions is what kind of representations we can create about our visual environment and how these representations influence our behavior. At our lab we use multiple methods, for example behavioral experiments and computational models. In this experiment you will observe scenes consisting of abstract shapes and answer simple questions about them. <br><br>At the beginning and throughout the experiment you will receive precise information about what to do. The experiment takes about 25 minutes in total. <br><br>The test is voluntary, and you can withdraw your participation at any time. We treat your personal information confidentially. <br>Only those people who work on this research project have access to your data. We will work with group level statistics. We will only report the results of the group in scientific publications and conferences. This research was approved by the Hungarian Psychological Research Ethics Committee.<br><br>If you have any further questions about the study, you can contact the experimenter, Beata Tunde Szabo, PhD Student. Contact: 1051 Nador u. 11. E-mail: szabo_beata-tunde@phd.ceu.edu <br><br>By pressing the button below you indicate that you read this information, found it sufficent, and you consent to participate in the experiment. <br><br> </p>","0","","","","","","","","","",""
"html-button-response","3","5683","0.0-3.0","","1363","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your practice session. You will see a checkerboard with random simple shapes appearing in different positions in the checkerboard. Your task is simply to observe the patterns so that you would be able to answer some questions about the sequence after the practice session.  The session will last for about 8 minutes.  Please, pay attention to EACH display! <br><br>Occasionally, there will be an attention check asking you to press the spacebar. ","0","","","","","","","","","",""
"vsl-grid-scene-snap","4","7695","0.0-4.0-0.0-0.0","","","[[0,""img/obj2.png"",0,0,0],[""img/obj3.png"",""img/obj7.png"",0,0,0],[0,""img/obj1.png"",""img/obj5.png"",0,0],[0,0,0,""img/obj11.png"",0],[0,0,0,0,0]]","","","","","","","","","","",""
"vsl-grid-scene-snap","5","10717","0.0-4.0-0.0-1.0","","","[[0,0,""img/obj2.png"",0,0],[0,""img/obj3.png"",""img/obj7.png"",0,0],[0,0,""img/obj1.png"",""img/obj5.png"",0],[0,0,0,0,""img/obj11.png""],[0,0,0,0,0]]","","","","","","","","","","",""
"vsl-grid-scene","6","13634","0.0-4.0-1.0-0.0-0.0","","1899",""," ","","","","","","","","","",""
"html-keyboard-response","7","14651","0.0-4.0-1.0-1.0","","null"," ","null","","","","","","","","","",""
"vsl-grid-scene","8","17661","0.0-4.0-3.0-0.0-0.0","","null","","null","","","","","","","","","",""
"vsl-grid-scene","9","18233","0.0-4.0-3.0-0.1-0.1","","571",""," ","","","","","","","","","",""
"html-keyboard-response","10","19236","0.0-4.0-3.0-1.0","","null"," ","null","","","","","","","","","",""
"vsl-grid-scene","11","20209","0.0-4.0-5.0-0.0-0.0","","971",""," ","","","","","","","","","",""
"html-keyboard-response","12","21221","0.0-4.0-5.0-1.0","","null"," ","null","","","","","","","","","",""
"vsl-grid-scene-snap","13","23236","0.0-4.0-6.0-0.0","","","[[0,""img/obj2.png"",0,0,0],[""img/obj3.png"",""img/obj7.png"",0,0,0],[0,""img/obj1.png"",""img/obj5.png"",0,0],[0,0,0,""img/obj11.png"",0],[0,0,0,0,0]]","","","","","","","","","","",""
"vsl-grid-scene-snap","14","26259","0.0-4.0-6.0-1.0","","","[[0,0,""img/obj2.png"",0,0],[0,""img/obj3.png"",""img/obj7.png"",0,0],[0,0,""img/obj1.png"",""img/obj5.png"",0],[0,0,0,0,""img/obj11.png""],[0,0,0,0,0]]","","","","","","","","","","",""
"vsl-grid-scene","15","27538","0.0-4.0-7.0-0.0-0.0","","276",""," ","","","","","","","","","",""
"html-keyboard-response","16","28554","0.0-4.0-7.0-1.0","","null"," ","null","","","","","","","","","",""
"vsl-grid-scene","17","28866","0.0-4.0-9.0-0.0-0.0","","309",""," ","","","","","","","","","",""
"html-keyboard-response","18","29876","0.0-4.0-9.0-1.0","","null"," ","null","","","","","","","","","",""
"html-keyboard-response","19","30891","0.0-5.0-0.0","","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>120","null","","","","","","","","","",""
"html-keyboard-response","20","31903","0.0-5.0-1.0","","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>119","null","","","","","","","","","",""
"html-keyboard-response","21","32907","0.0-5.0-2.0","","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>118","null","","","","","","","","","",""
"html-keyboard-response","22","33920","0.0-5.0-3.0","","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>117","null","","","","","","","","","",""
"html-keyboard-response","23","34931","0.0-5.0-4.0","","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>116","null","","","","","","","","","",""
