"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","response","test_part","correct_response","test_number","test_scene","patternsize","true_test","correct","subject","image_switchboard"
"pavlovia","0","1976","0.0-0.0","","","","","","","","","","","","",""
"fullscreen","1","50120","0.0-1.0","true","47127","","","","","","","","","","",""
"html-button-response","2","69929","0.0-2.0","","19769","<p style=""text-align: justify;margin-left: 15%; margin-right:15%"">You are participating in an experiment at the Vision Lab of the Department of Cognitive Science, Central European University.  One of our main questions is what kind of representations we can create about our visual environment and how these representations influence our behavior. At our lab we use multiple methods, for example behavioral experiments and computational models. In this experiment you will observe scenes consisting of abstract shapes and answer simple questions about them. <br><br>At the beginning and throughout the experiment you will receive precise information about what to do. The experiment takes about 25 minutes in total. <br><br>The test is voluntary, and you can withdraw your participation at any time. We treat your personal information confidentially. <br>Only those people who work on this research project have access to your data. We will work with group level statistics. We will only report the results of the group in scientific publications and conferences. This research was approved by the Hungarian Psychological Research Ethics Committee.<br><br>If you have any further questions about the study, you can contact the experimenter, Beata Tunde Szabo, PhD Student. Contact: 1051 Nador u. 11. E-mail: szabo_beata-tunde@phd.ceu.edu <br><br>By pressing the button below you indicate that you read this information, found it sufficent, and you consent to participate in the experiment. <br><br> </p>","0","","","","","","","","",""
"html-button-response","3","121220","0.0-3.0","","51288","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your practice session. You will see a checkerboard with random simple shapes appearing in different positions in the checkerboard. Your task is simply to observe the patterns so that you would be able to answer some questions about the sequence after the practice session.  The session will last for about 13 minutes.  Please, pay attention to EACH display! <br><br>Occasionally, there will be an attention check asking you to press the spacebar. ","0","","","","","","","","",""
"vsl-grid-scene-snap","4","123226","0.0-4.0-0.0-0.0","","","[[0,0,""img/obj5.png"",0,0],[0,""img/obj6.png"",0,0,0],[""img/obj7.png"",""img/obj3.png"",0,0,0],[""img/obj1.png"",0,0,0,0],[0,""img/obj8.png"",0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","5","126235","0.0-4.0-0.0-1.0","","","[[0,0,0,0,0],[0,""img/obj2.png"",""img/obj3.png"",0,0],[0,""img/obj1.png"",""img/obj10.png"",0,0],[0,0,""img/obj8.png"",""img/obj4.png"",0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","6","129242","0.0-4.0-0.0-2.0","","","[[0,0,0,0,0],[0,0,0,0,0],[0,""img/obj2.png"",0,0,""img/obj5.png""],[0,0,""img/obj10.png"",""img/obj6.png"",0],[0,0,""img/obj7.png"",""img/obj4.png"",0]]","","","","","","","","","",""
"vsl-grid-scene-snap","7","132251","0.0-4.0-0.0-3.0","","","[[0,0,0,0,0],[0,""img/obj2.png"",""img/obj5.png"",0,0],[0,""img/obj6.png"",""img/obj10.png"",0,0],[""img/obj7.png"",0,0,""img/obj4.png"",0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","8","135268","0.0-4.0-0.0-4.0","","","[[0,0,0,0,0],[0,""img/obj12.png"",0,0,0],[0,""img/obj2.png"",""img/obj11.png"",0,0],[0,""img/obj9.png"",""img/obj10.png"",0,0],[0,0,0,""img/obj4.png"",0]]","","","","","","","","","",""
"vsl-grid-scene-snap","9","138282","0.0-4.0-0.0-5.0","","","[[0,0,0,0,0],[""img/obj2.png"",""img/obj12.png"",0,0,0],[0,""img/obj10.png"",""img/obj11.png"",0,0],[0,""img/obj9.png"",""img/obj4.png"",0,0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","10","141287","0.0-4.0-0.0-6.0","","","[[0,0,0,0,0],[0,""img/obj2.png"",0,0,""img/obj5.png""],[0,0,""img/obj10.png"",""img/obj6.png"",0],[0,0,""img/obj7.png"",""img/obj4.png"",0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","11","144297","0.0-4.0-0.0-7.0","","","[[0,0,0,""img/obj12.png"",0],[0,0,0,""img/obj5.png"",""img/obj11.png""],[0,0,""img/obj6.png"",""img/obj9.png"",0],[0,""img/obj7.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","12","147324","0.0-4.0-0.0-8.0","","","[[0,0,0,""img/obj3.png"",0],[0,0,""img/obj1.png"",0,0],[0,0,""img/obj2.png"",""img/obj8.png"",0],[0,0,0,""img/obj10.png"",0],[0,0,0,0,""img/obj4.png""]]","","","","","","","","","",""
"vsl-grid-scene-snap","13","150345","0.0-4.0-0.0-9.0","","","[[0,0,""img/obj2.png"",0,0],[0,0,0,""img/obj10.png"",""img/obj3.png""],[0,0,0,""img/obj1.png"",""img/obj4.png""],[0,0,0,0,""img/obj8.png""],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","14","153372","0.0-4.0-0.0-10.0","","","[[0,""img/obj2.png"",""img/obj12.png"",0,0],[0,0,""img/obj10.png"",""img/obj11.png"",0],[0,0,""img/obj9.png"",""img/obj4.png"",0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","15","156381","0.0-4.0-0.0-11.0","","","[[0,0,0,0,0],[0,""img/obj3.png"",""img/obj5.png"",0,0],[""img/obj1.png"",""img/obj6.png"",0,0,0],[""img/obj7.png"",""img/obj8.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","16","159395","0.0-4.0-0.0-12.0","","","[[0,0,0,0,""img/obj3.png""],[0,0,""img/obj12.png"",""img/obj1.png"",0],[0,0,0,""img/obj11.png"",""img/obj8.png""],[0,0,""img/obj9.png"",0,0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","17","162410","0.0-4.0-0.0-13.0","","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,""img/obj3.png"",""img/obj5.png"",0],[0,""img/obj1.png"",""img/obj6.png"",0,0],[0,""img/obj7.png"",""img/obj8.png"",0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","18","165441","0.0-4.0-0.0-14.0","","","[[0,0,0,""img/obj5.png"",0],[0,""img/obj2.png"",""img/obj6.png"",0,0],[0,""img/obj7.png"",""img/obj10.png"",0,0],[0,0,0,""img/obj4.png"",0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","19","168463","0.0-4.0-0.0-15.0","","","[[0,0,""img/obj12.png"",0,0],[0,0,""img/obj5.png"",""img/obj11.png"",0],[0,""img/obj6.png"",""img/obj9.png"",0,0],[""img/obj7.png"",0,0,0,0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","20","171490","0.0-4.0-0.0-16.0","","","[[0,0,0,0,0],[0,""img/obj3.png"",0,0,0],[""img/obj1.png"",""img/obj2.png"",0,0,0],[0,""img/obj8.png"",""img/obj10.png"",0,0],[0,0,0,""img/obj4.png"",0]]","","","","","","","","","",""
"vsl-grid-scene-snap","21","174508","0.0-4.0-0.0-17.0","","","[[0,0,0,0,0],[0,""img/obj2.png"",""img/obj12.png"",0,0],[0,0,""img/obj10.png"",""img/obj11.png"",0],[0,0,""img/obj9.png"",""img/obj4.png"",0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","22","177517","0.0-4.0-0.0-18.0","","","[[0,0,0,""img/obj12.png"",0],[0,0,0,0,""img/obj11.png""],[0,0,0,""img/obj9.png"",""img/obj5.png""],[0,0,0,""img/obj6.png"",0],[0,0,""img/obj7.png"",0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","23","180538","0.0-4.0-0.0-19.0","","","[[0,""img/obj2.png"",0,0,0],[0,0,""img/obj10.png"",""img/obj5.png"",0],[0,0,""img/obj6.png"",""img/obj4.png"",0],[0,""img/obj7.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","24","183555","0.0-4.0-0.0-20.0","","","[[0,0,0,0,0],[""img/obj2.png"",0,0,""img/obj3.png"",0],[0,""img/obj10.png"",""img/obj1.png"",0,0],[0,0,""img/obj4.png"",""img/obj8.png"",0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","25","186571","0.0-4.0-0.0-21.0","","","[[0,""img/obj2.png"",""img/obj3.png"",0,0],[0,""img/obj1.png"",""img/obj10.png"",0,0],[0,0,""img/obj8.png"",""img/obj4.png"",0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","26","189605","0.0-4.0-0.0-22.0","","","[[0,0,0,0,0],[0,0,""img/obj2.png"",0,0],[0,0,""img/obj12.png"",""img/obj10.png"",0],[0,0,0,""img/obj11.png"",""img/obj4.png""],[0,0,""img/obj9.png"",0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","27","192626","0.0-4.0-0.0-23.0","","","[[0,0,0,0,0],[0,0,0,""img/obj12.png"",""img/obj5.png""],[0,0,0,""img/obj6.png"",""img/obj11.png""],[0,0,""img/obj7.png"",""img/obj9.png"",0],[0,0,0,0,0]]","","","","","","","","","",""
