"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","response","test_part","correct_response","test_number","test_scene","patternsize","true_test","correct","subject","image_switchboard"
"pavlovia","0","532","0.0-0.0","","","","","","","","","","","","",""
"fullscreen","1","236827","0.0-1.0","true","235281","","","","","","","","","","",""
"html-button-response","2","238321","0.0-2.0","","1492","<p style=""text-align: justify;margin-left: 15%; margin-right:15%"">You are participating in an experiment at the Vision Lab of the Department of Cognitive Science, Central European University.  One of our main questions is what kind of representations we can create about our visual environment and how these representations influence our behavior. At our lab we use multiple methods, for example behavioral experiments and computational models. In this experiment you will observe scenes consisting of abstract shapes and answer simple questions about them. <br><br>At the beginning and throughout the experiment you will receive precise information about what to do. The experiment takes about 25 minutes in total. <br><br>The test is voluntary, and you can withdraw your participation at any time. We treat your personal information confidentially. <br>Only those people who work on this research project have access to your data. We will work with group level statistics. We will only report the results of the group in scientific publications and conferences. This research was approved by the Hungarian Psychological Research Ethics Committee.<br><br>If you have any further questions about the study, you can contact the experimenter, Beata Tunde Szabo, PhD Student. Contact: 1051 Nador u. 11. E-mail: szabo_beata-tunde@phd.ceu.edu <br><br>By pressing the button below you indicate that you read this information, found it sufficent, and you consent to participate in the experiment. <br><br> </p>","0","","","","","","","","",""
"survey-html-form","3","243048","0.0-3.0","","4726","","{""Age"":""29"",""gender"":""Male"",""gender_other"":""""}","","","","","","","","",""
"html-button-response","4","257132","0.0-4.0","","14083","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your practice session. You will see a checkerboard with random simple shapes appearing in different positions in the checkerboard. Your task is simply to observe the patterns so that you would be able to answer some questions about the sequence after the practice session.  The session will last for about 13 minutes.  Please, pay attention to EACH display! <br><br>Occasionally, there will be an attention check asking you to press the spacebar. ","0","","","","","","","","",""
"vsl-grid-scene-snap","5","259139","0.0-5.0-0.0-0.0","","","[[0,0,0,0,0],[0,0,""img/obj8.png"",0,0],[0,""img/obj10.png"",""img/obj1.png"",0,0],[""img/obj12.png"",""img/obj11.png"",0,0,0],[0,0,""img/obj7.png"",0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","6","262157","0.0-5.0-0.0-1.0","","","[[0,0,0,0,0],[0,0,0,""img/obj1.png"",0],[0,""img/obj2.png"",""img/obj11.png"",0,0],[0,0,""img/obj6.png"",""img/obj7.png"",0],[0,""img/obj5.png"",0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","7","265172","0.0-5.0-0.0-2.0","","","[[0,0,0,0,0],[0,""img/obj2.png"",0,0,0],[0,0,""img/obj6.png"",""img/obj1.png"",0],[0,""img/obj5.png"",""img/obj11.png"",0,0],[0,0,0,""img/obj7.png"",0]]","","","","","","","","","",""
"vsl-grid-scene-snap","8","268181","0.0-5.0-0.0-3.0","","","[[0,0,""img/obj1.png"",0,0],[""img/obj4.png"",""img/obj11.png"",0,0,0],[0,""img/obj9.png"",""img/obj7.png"",0,0],[0,0,""img/obj3.png"",0,0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","9","271188","0.0-5.0-0.0-4.0","","","[[0,""img/obj4.png"",""img/obj2.png"",0,0],[0,0,""img/obj9.png"",""img/obj6.png"",0],[0,0,""img/obj5.png"",""img/obj3.png"",0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","",""
