"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","button_pressed","responses","key_press","test_part","correct_response","test_number","correct","randomID","subject","image_switchboard","scene_order"
"true","fullscreen","0","2854","0.0-0.0","","","","","","","","","","","","",""
"","html-button-response","1","3953","0.0-1.0","1094.9000000059605","<p style=""text-align: justify;margin-left: 15%; margin-right:15%"">You are participating in an experiment at the Vision Lab of the Department of Cognitive Science, Central European University.  One of our main questions is what kind of representations we can create about our visual environment and how these representations influence our behavior. At our lab we use multiple methods, for example behavioral experiments and computational models. In this experiment you will observe scenes consisting of abstract shapes and answer simple questions about them. <br><br>At the beginning and throughout the experiment you will receive precise information about what to do. The experiment takes about 20 minutes in total. <br><br>The test is voluntary, and you can withdraw your participation at any time. We treat your personal information confidentially. <br>Only those people who work on this research project have access to your data. We will work with group level statistics. We will only report the results of the group in scientific publications and conferences. This research was approved by the Hungarian Psychological Research Ethics Committee.<br><br>If you have any further questions about the study, you can contact the experimenter, Dominik Garber, PhD Student. Contact: 1051 Oct 6. utca 7. E-mail: garber_dominik@phd.ceu.edu <br><br>By pressing the button below you indicate that you read this information, found it sufficent, and you consent to participate in the experiment. <br><br> </p>","0","","","","","","","","","",""
"","survey-html-form","2","6574","0.0-2.0","2619.199999988079","","","{""Age"":""2"",""gender"":""Female"",""gender_other"":""""}","","","","","","","","",""
"","html-button-response","3","8080","0.0-3.0","1504.7000000178814","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your practice session. You will see a checkerboard with random simple shapes appearing in different positions in the checkerboard. Your task is simply to observe the patterns so that you would be able to answer some questions about the sequence after the practice session.  The session will last for about 8 minutes.  Please, pay attention to EACH display! <br><br>Occasionally, there will be an attention check asking you to press the spacebar. ","0","","","","","","","","","",""
"","vsl-grid-scene-snap","4","10082","0.0-4.0-0.0-0.0","","[[""img/obj11.png"",""img/obj5.png"",""img/obj7.png""],[""img/obj6.png"",0,""img/obj9.png""],[0,""img/obj4.png"",0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","5","13085","0.0-4.0-0.0-1.0","","[[""img/obj10.png"",""img/obj5.png"",""img/obj7.png""],[""img/obj2.png"",0,""img/obj9.png""],[0,""img/obj4.png"",0]]","","","","","","","","","","",""
"","vsl-grid-attention-check","6","14657","0.0-4.0-1.0-0.0-0.0","568.9000000059605","[[""img/square.png"",""img/square.png"",""img/square.png""],[0,""img/attention.png"",0],[""img/square.png"",""img/square.png"",0]]","","","32","","","","","","","",""
"","html-keyboard-response","7","15659","0.0-4.0-1.0-1.0","null"," ","","","null","","","","","","","",""
"","html-keyboard-response","8","16659","0.0-5.0-0.0","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>120","","","null","","","","","","","",""
"","html-keyboard-response","9","17660","0.0-5.0-1.0","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>119","","","null","","","","","","","",""
"","html-keyboard-response","10","18661","0.0-5.0-2.0","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>118","","","null","","","","","","","",""
"","html-keyboard-response","11","19668","0.0-5.0-3.0","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>117","","","null","","","","","","","",""
"","html-keyboard-response","12","20669","0.0-5.0-4.0","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>116","","","null","","","","","","","",""
"","html-keyboard-response","13","21888","0.0-6.0","1218.300000011921","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your test session. You will see 36 trials. In each trial two pairs of shapes will appear with one second of pause between them. Your task is to decide which of the two pairs looks more familiar based on the practice session you have just seen. After the second shape-pair a dialog window will appear asking whether the first or the second pair was more familiar. Using the keyboard you should press 1 or 2. <br> Pressing 1 means that the first shape-pair is more familiar. <br> Pressing 2 means that the second shape-pair is more familiar. <br> No other inputs are accepted. <br> It is important that you pay attention to each trial and that you reply to each trial to the best of your knowledge. Always reply either 1 or 2, even if you are unsure. <br><br>Press space bar to begin.<p>","","","32","","","","","","","",""
"","vsl-grid-scene-snap","14","23899","0.0-7.0-0.0-0.0-0.0","","[[""img/obj6.png"",0,0],[""img/obj7.png"",0,0],[0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","15","26902","0.0-7.0-0.0-0.0-1.0","","[[""img/obj10.png"",0,0],[""img/obj2.png"",0,0],[0,0,0]]","","","","","","","","","","",""
"","html-keyboard-response","16","28576","0.0-7.0-0.0-1.0","673","<p>Was the first (1) or second (2) more familiar?</p><p>Press key (1) or (2)<p>","","","49","test","2","0","false","","","",""
"","vsl-grid-scene-snap","17","31583","0.0-7.0-1.0-0.0-0.0","","[[""img/obj10.png"",0,0],[""img/obj2.png"",0,0],[0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","18","34585","0.0-7.0-1.0-0.0-1.0","","[[0,0,0],[0,0,""img/obj5.png""],[0,0,""img/obj11.png""]]","","","","","","","","","","",""
"","html-keyboard-response","19","36144","0.0-7.0-1.0-1.0","557.1999999880791","<p>Was the first (1) or second (2) more familiar?</p><p>Press key (1) or (2)<p>","","","50","test","1","1","false","","","",""
"","survey-text","20","39100","0.0-8.0","1939.2999999821186","","","{""Q0"":""a""}","","","","","","","","",""
