"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","button_pressed","responses","key_press","test_part","correct_response","test_number","correct"
"true","fullscreen","0","3106","0.0-0.0","","","","","","","","",""
"","html-button-response","1","4229","0.0-1.0","1119.0999999940395","<p style=""text-align: justify;margin-left: 15%; margin-right:15%"">You are participating in an experiment at the Vision Lab of the Department of Cognitive Science, Central European University.  One of our main questions is what kind of representations we can create about our visual environment and how these representations influence our behavior. At our lab we use multiple methods, for example behavioral experiments and computational models. In this experiment you will observe scenes consisting of abstract shapes and answer simple questions about them. <br><br>At the beginning and throughout the experiment you will receive precise information about what to do. The experiment takes about 20 minutes in total. <br><br>The test is voluntary, and you can withdraw your participation at any time. We treat your personal information confidentially. <br>Only those people who work on this research project have access to your data. We will work with group level statistics. We will only report the results of the group in scientific publications and conferences. This research was approved by the Hungarian Psychological Research Ethics Committee.<br><br>If you have any further questions about the study, you can contact the experimenter, Dominik Garber, PhD Student. Contact: 1051 Oct 6. utca 7. E-mail: garber_dominik@phd.ceu.edu <br><br>By pressing the button below you indicate that you read this information, found it sufficent, and you consent to participate in the experiment. <br><br> </p>","0","","","","","",""
"","survey-html-form","2","6402","0.0-2.0","2171.4000000059605","","","{""Age"":""2"",""gender"":""Female"",""gender_other"":""""}","","","","",""
"","html-button-response","3","7233","0.0-3.0","830.0999999940395","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your practice session. You will see a checkerboard with random simple shapes appearing in different positions in the checkerboard. Your task is simply to observe the patterns so that you would be able to answer some questions about the sequence after the practice session.  The session will last for about 8 minutes.  Please, pay attention to EACH display! <br><br>Occasionally, there will be an attention check asking you to press the spacebar. ","0","","","","","",""
"","vsl-grid-scene-snap","4","9240","0.0-4.0-0.0-0.0","","[[""img/obj10.png"",""img/obj8.png"",""img/obj9.png""],[""img/obj4.png"",0,""img/obj12.png""],[0,""img/obj7.png"",0]]","","","","","","",""
"","vsl-grid-scene-snap","5","12242","0.0-4.0-0.0-1.0","","[[""img/obj5.png"",""img/obj8.png"",""img/obj9.png""],[""img/obj2.png"",0,""img/obj12.png""],[0,""img/obj7.png"",0]]","","","","","","",""
"","vsl-grid-attention-check","6","15251","0.0-4.0-1.0-0.0-0.0","2004.2999999821186","[[0,0,""img/square.png""],[""img/square.png"",""img/attention.png"",""img/square.png""],[0,""img/square.png"",""img/square.png""]]","","","32","","","",""
"","html-keyboard-response","7","16260","0.0-4.0-1.0-1.0","null"," ","","","null","","","",""
"","html-keyboard-response","8","17261","0.0-5.0-0.0","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>120","","","null","","","",""
"","html-keyboard-response","9","18263","0.0-5.0-1.0","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>119","","","null","","","",""
"","html-keyboard-response","10","19264","0.0-5.0-2.0","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>118","","","null","","","",""
"","html-keyboard-response","11","20265","0.0-5.0-3.0","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>117","","","null","","","",""
"","html-keyboard-response","12","21267","0.0-5.0-4.0","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>116","","","null","","","",""
