"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","viewport_dims","stimulus","response","test_part","correct_response","test_number","test_scene","patternsize","true_test","correct","randomID","subject","image_switchboard","scene_order"
"true","2226","fullscreen","0","3230","0.0-0.0","{""width"":2048,""height"":898}","","","","","","","","","","","","",""
"","5089","html-button-response","1","8345","0.0-1.0","{""width"":2048,""height"":898}","
        <p style=""text-align: center;"">Please select the webcam associated with the screen you are using to view the experiment.</p>
        <p style=""text-align: center;"">Select your webcam:</p>
        <select id=""webcam-select""></select>
    	","0","","","","","","","","","","",""
"","916","html-button-response","2","9262","0.0-2.0","{""width"":2048,""height"":898}","<p>Click to start calibration!</p>","0","","","","","","","","","","",""
"","","html-keyboard-response","3","35693","0.0-3.0","{""width"":2048,""height"":898}","","","","","","","","","","","","",""
"","1876","html-button-response","4","37570","0.0-4.0","{""width"":2048,""height"":898}","<p style=""text-align: justify;margin-left: 15%; margin-right:15%"">You are participating in an experiment at the Vision Lab of the Department of Cognitive Science, Central European University.  One of our main questions is what kind of representations we can create about our visual environment and how these representations influence our behavior. At our lab we use multiple methods, for example behavioral experiments and computational models. In this experiment you will observe scenes consisting of abstract shapes and answer simple questions about them. <br><br>At the beginning and throughout the experiment you will receive precise information about what to do. The experiment takes about 20 minutes in total. <br><br>The test is voluntary, and you can withdraw your participation at any time. We treat your personal information confidentially. <br>Only those people who work on this research project have access to your data. We will work with group level statistics. We will only report the results of the group in scientific publications and conferences. This research was approved by the Hungarian Psychological Research Ethics Committee.<br><br>If you have any further questions about the study, you can contact the experimenter, Beata Tunde Szabo, PhD Student. Contact: 1051 Nador u. 11. E-mail: szabo_beata-tunde@phd.ceu.edu <br><br>By pressing the button below you indicate that you read this information, found it sufficent, and you consent to participate in the experiment. <br><br> </p>","0","","","","","","","","","","",""
"","1283","html-button-response","5","38855","0.0-5.0","{""width"":2048,""height"":898}","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your practice session. You will see a checkerboard with random simple shapes appearing in different positions in the checkerboard. Your task is simply to observe the patterns so that you would be able to answer some questions about the sequence after the practice session.  The session will last for about 8 minutes.  Please, pay attention to EACH display! <br><br>Occasionally, there will be an attention check asking you to press the spacebar. ","0","","","","","","","","","","",""
"","","vsl-grid-scene-snap","6","41652","0.0-6.0-0.0-0.0","{""width"":2048,""height"":898}","[[0,0,""img/obj6.png"",0,0],[0,""img/obj9.png"",0,0,0],[0,""img/obj12.png"",""img/obj10.png"",0,0],[0,0,""img/obj1.png"",0,0],[0,0,0,""img/obj5.png"",0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","7","46368","0.0-6.0-0.0-1.0","{""width"":2048,""height"":898}","[[0,0,0,0,0],[0,0,""img/obj6.png"",""img/obj2.png"",0],[0,""img/obj9.png"",""img/obj8.png"",0,0],[0,""img/obj11.png"",""img/obj10.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","8","50505","0.0-6.0-0.0-2.0","{""width"":2048,""height"":898}","[[0,0,0,0,0],[0,0,0,0,0],[0,""img/obj12.png"",""img/obj6.png"",0,0],[0,""img/obj9.png"",""img/obj1.png"",0,0],[0,0,""img/obj10.png"",""img/obj5.png"",0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","9","54777","0.0-6.0-0.0-3.0","{""width"":2048,""height"":898}","[[0,0,0,0,0],[0,0,0,""img/obj6.png"",0],[0,""img/obj12.png"",""img/obj9.png"",0,0],[0,0,""img/obj1.png"",""img/obj10.png"",0],[0,0,0,""img/obj5.png"",0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","10","59030","0.0-6.0-0.0-4.0","{""width"":2048,""height"":898}","[[0,0,0,0,0],[0,""img/obj12.png"",0,0,""img/obj6.png""],[0,0,""img/obj1.png"",""img/obj9.png"",0],[0,0,0,""img/obj5.png"",""img/obj10.png""],[0,0,0,0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","11","63012","0.0-6.0-0.0-5.0","{""width"":2048,""height"":898}","[[0,0,0,0,0],[""img/obj12.png"",""img/obj3.png"",0,0,0],[0,""img/obj1.png"",""img/obj4.png"",0,0],[0,""img/obj7.png"",""img/obj5.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","12","66946","0.0-6.0-0.0-6.0","{""width"":2048,""height"":898}","[[0,0,0,0,0],[0,0,0,""img/obj2.png"",0],[0,""img/obj3.png"",""img/obj8.png"",0,0],[0,""img/obj11.png"",""img/obj4.png"",0,0],[0,""img/obj7.png"",0,0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","13","71141","0.0-6.0-0.0-7.0","{""width"":2048,""height"":898}","[[0,0,0,0,0],[0,0,""img/obj12.png"",0,0],[0,0,""img/obj3.png"",""img/obj1.png"",0],[0,0,0,""img/obj4.png"",""img/obj5.png""],[0,0,""img/obj7.png"",0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","14","75443","0.0-6.0-0.0-8.0","{""width"":2048,""height"":898}","[[0,0,0,0,0],[0,0,0,""img/obj6.png"",""img/obj2.png""],[0,0,""img/obj9.png"",""img/obj8.png"",0],[0,0,""img/obj11.png"",""img/obj10.png"",0],[0,0,0,0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","15","79458","0.0-6.0-0.0-9.0","{""width"":2048,""height"":898}","[[0,0,0,0,0],[0,0,0,0,""img/obj6.png""],[0,0,0,""img/obj9.png"",""img/obj2.png""],[0,0,0,""img/obj8.png"",""img/obj10.png""],[0,0,""img/obj11.png"",0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","16","83369","0.0-6.0-0.0-10.0","{""width"":2048,""height"":898}","[[0,0,0,0,0],[0,""img/obj6.png"",""img/obj2.png"",0,0],[""img/obj9.png"",""img/obj8.png"",0,0,0],[""img/obj11.png"",""img/obj10.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","17","87566","0.0-6.0-0.0-11.0","{""width"":2048,""height"":898}","[[0,0,0,0,0],[0,0,0,0,0],[0,0,""img/obj3.png"",""img/obj2.png"",0],[0,0,""img/obj8.png"",""img/obj4.png"",0],[0,""img/obj11.png"",""img/obj7.png"",0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","18","91867","0.0-6.0-0.0-12.0","{""width"":2048,""height"":898}","[[0,0,0,0,0],[0,0,""img/obj2.png"",0,0],[""img/obj12.png"",""img/obj8.png"",0,0,0],[""img/obj11.png"",""img/obj1.png"",0,0,0],[0,0,""img/obj5.png"",0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","19","95769","0.0-6.0-0.0-13.0","{""width"":2048,""height"":898}","[[0,0,0,0,""img/obj6.png""],[0,0,""img/obj3.png"",""img/obj9.png"",0],[0,0,0,""img/obj4.png"",""img/obj10.png""],[0,0,""img/obj7.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","20","99847","0.0-6.0-0.0-14.0","{""width"":2048,""height"":898}","[[0,0,0,0,0],[""img/obj12.png"",0,0,0,0],[0,""img/obj1.png"",""img/obj3.png"",0,0],[0,0,""img/obj5.png"",""img/obj4.png"",0],[0,0,""img/obj7.png"",0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","21","104084","0.0-6.0-0.0-15.0","{""width"":2048,""height"":898}","[[0,0,0,0,0],[0,0,0,""img/obj2.png"",0],[0,""img/obj12.png"",""img/obj8.png"",0,0],[0,""img/obj11.png"",""img/obj1.png"",0,0],[0,0,0,""img/obj5.png"",0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","22","108469","0.0-6.0-0.0-16.0","{""width"":2048,""height"":898}","[[0,0,""img/obj6.png"",0,0],[0,""img/obj9.png"",""img/obj12.png"",0,0],[0,0,""img/obj10.png"",""img/obj1.png"",0],[0,0,0,0,""img/obj5.png""],[0,0,0,0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","23","112339","0.0-6.0-0.0-17.0","{""width"":2048,""height"":898}","[[0,0,""img/obj6.png"",0,0],[0,""img/obj9.png"",""img/obj3.png"",0,0],[0,0,""img/obj10.png"",""img/obj4.png"",0],[0,0,""img/obj7.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","24","116443","0.0-6.0-0.0-18.0","{""width"":2048,""height"":898}","[[0,0,0,0,0],[0,0,0,0,0],[""img/obj3.png"",0,0,""img/obj2.png"",0],[0,""img/obj4.png"",""img/obj8.png"",0,0],[""img/obj7.png"",""img/obj11.png"",0,0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","25","120783","0.0-6.0-0.0-19.0","{""width"":2048,""height"":898}","[[0,0,0,0,0],[0,0,0,""img/obj2.png"",0],[0,0,""img/obj8.png"",""img/obj6.png"",0],[0,""img/obj11.png"",""img/obj9.png"",0,0],[0,0,0,""img/obj10.png"",0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","26","124845","0.0-6.0-0.0-20.0","{""width"":2048,""height"":898}","[[0,0,""img/obj3.png"",""img/obj2.png"",0],[0,0,""img/obj8.png"",""img/obj4.png"",0],[0,""img/obj11.png"",""img/obj7.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","27","129152","0.0-6.0-0.0-21.0","{""width"":2048,""height"":898}","[[0,0,0,0,0],[0,""img/obj3.png"",""img/obj12.png"",0,0],[0,0,""img/obj4.png"",""img/obj1.png"",0],[0,""img/obj7.png"",0,0,""img/obj5.png""],[0,0,0,0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","28","133210","0.0-6.0-0.0-22.0","{""width"":2048,""height"":898}","[[0,0,0,0,0],[""img/obj3.png"",""img/obj12.png"",0,0,0],[0,""img/obj4.png"",""img/obj1.png"",0,0],[""img/obj7.png"",0,0,""img/obj5.png"",0],[0,0,0,0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","29","137311","0.0-6.0-0.0-23.0","{""width"":2048,""height"":898}","[[0,0,0,0,0],[0,0,0,""img/obj6.png"",0],[0,""img/obj3.png"",""img/obj9.png"",0,0],[0,0,""img/obj4.png"",""img/obj10.png"",0],[0,""img/obj7.png"",0,0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","30","141693","0.0-6.0-0.0-24.0","{""width"":2048,""height"":898}","[[0,0,""img/obj6.png"",0,0],[""img/obj12.png"",""img/obj9.png"",0,0,0],[0,""img/obj1.png"",""img/obj10.png"",0,0],[0,0,""img/obj5.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","31","146075","0.0-6.0-0.0-25.0","{""width"":2048,""height"":898}","[[0,0,0,0,0],[0,0,""img/obj3.png"",0,0],[0,0,""img/obj6.png"",""img/obj4.png"",0],[0,""img/obj9.png"",""img/obj7.png"",0,0],[0,0,""img/obj10.png"",0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","32","150332","0.0-6.0-0.0-26.0","{""width"":2048,""height"":898}","[[0,0,0,0,0],[0,0,0,0,0],[0,""img/obj12.png"",0,0,""img/obj2.png""],[0,0,""img/obj1.png"",""img/obj8.png"",0],[0,0,""img/obj11.png"",""img/obj5.png"",0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","33","155285","0.0-6.0-0.0-27.0","{""width"":2048,""height"":898}","[[0,0,""img/obj2.png"",""img/obj6.png"",0],[0,""img/obj8.png"",""img/obj9.png"",0,0],[""img/obj11.png"",0,0,""img/obj10.png"",0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","34","159389","0.0-6.0-0.0-28.0","{""width"":2048,""height"":898}","[[0,""img/obj12.png"",0,0,0],[0,0,""img/obj1.png"",""img/obj6.png"",0],[0,0,""img/obj9.png"",""img/obj5.png"",0],[0,0,0,""img/obj10.png"",0],[0,0,0,0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","35","163773","0.0-6.0-0.0-29.0","{""width"":2048,""height"":898}","[[0,0,0,0,0],[0,0,""img/obj6.png"",0,0],[0,""img/obj9.png"",""img/obj3.png"",0,0],[0,0,""img/obj10.png"",""img/obj4.png"",0],[0,0,""img/obj7.png"",0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","36","168307","0.0-6.0-0.0-30.0","{""width"":2048,""height"":898}","[[0,""img/obj6.png"",0,0,0],[""img/obj9.png"",0,0,0,0],[""img/obj12.png"",""img/obj10.png"",0,0,0],[0,""img/obj1.png"",0,0,0],[0,0,""img/obj5.png"",0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","37","172850","0.0-6.0-0.0-31.0","{""width"":2048,""height"":898}","[[0,0,0,0,0],[0,0,""img/obj6.png"",0,0],[""img/obj12.png"",""img/obj9.png"",0,0,0],[0,""img/obj1.png"",""img/obj10.png"",0,0],[0,0,""img/obj5.png"",0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","38","177554","0.0-6.0-0.0-32.0","{""width"":2048,""height"":898}","[[""img/obj12.png"",0,0,0,0],[0,""img/obj1.png"",""img/obj3.png"",0,0],[0,0,""img/obj5.png"",""img/obj4.png"",0],[0,0,""img/obj7.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","39","182182","0.0-6.0-0.0-33.0","{""width"":2048,""height"":898}","[[0,""img/obj12.png"",""img/obj3.png"",0,0],[0,0,""img/obj1.png"",""img/obj4.png"",0],[0,0,""img/obj7.png"",""img/obj5.png"",0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","40","186373","0.0-6.0-0.0-34.0","{""width"":2048,""height"":898}","[[0,0,0,0,0],[0,0,""img/obj2.png"",0,0],[0,""img/obj8.png"",""img/obj6.png"",0,0],[""img/obj11.png"",""img/obj9.png"",0,0,0],[0,0,""img/obj10.png"",0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","41","190430","0.0-6.0-0.0-35.0","{""width"":2048,""height"":898}","[[0,0,0,""img/obj2.png"",0],[0,""img/obj12.png"",""img/obj8.png"",0,0],[0,""img/obj11.png"",""img/obj1.png"",0,0],[0,0,0,""img/obj5.png"",0],[0,0,0,0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","42","194653","0.0-6.0-0.0-36.0","{""width"":2048,""height"":898}","[[0,0,""img/obj3.png"",0,0],[0,0,""img/obj6.png"",""img/obj4.png"",0],[0,""img/obj9.png"",""img/obj7.png"",0,0],[0,0,""img/obj10.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","",""
"","","vsl-grid-scene-snap","43","198950","0.0-6.0-0.0-37.0","{""width"":2048,""height"":898}","[[0,0,0,0,0],[0,0,""img/obj12.png"",""img/obj6.png"",0],[0,0,""img/obj9.png"",""img/obj1.png"",0],[0,0,0,""img/obj10.png"",""img/obj5.png""],[0,0,0,0,0]]","","","","","","","","","","","",""
