"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","button_pressed","responses","key_press","test_part","correct_response","test_number","test_scene","patternsize","true_test","correct","randomID","subject","image_switchboard","scene_order"
"true","fullscreen","0","2628","0.0-0.0","","","","","","","","","","","","","","","",""
"","html-button-response","1","4068","0.0-1.0","1436.699999999255","<p style=""text-align: justify;margin-left: 15%; margin-right:15%"">You are participating in an experiment at the Vision Lab of the Department of Cognitive Science, Central European University.  One of our main questions is what kind of representations we can create about our visual environment and how these representations influence our behavior. At our lab we use multiple methods, for example behavioral experiments and computational models. In this experiment you will observe scenes consisting of abstract shapes and answer simple questions about them. <br><br>At the beginning and throughout the experiment you will receive precise information about what to do. The experiment takes about 20 minutes in total. <br><br>The test is voluntary, and you can withdraw your participation at any time. We treat your personal information confidentially. <br>Only those people who work on this research project have access to your data. We will work with group level statistics. We will only report the results of the group in scientific publications and conferences. This research was approved by the Hungarian Psychological Research Ethics Committee.<br><br>If you have any further questions about the study, you can contact the experimenter, Beata Tunde Szabo, PhD Student. Contact: 1051 Nador u. 11. E-mail: szabo_beata-tunde@phd.ceu.edu <br><br>By pressing the button below you indicate that you read this information, found it sufficent, and you consent to participate in the experiment. <br><br> </p>","0","","","","","","","","","","","","",""
"","survey-html-form","2","6903","0.0-2.0","2833","","","{""Age"":""2"",""gender"":""Female"",""gender_other"":""""}","","","","","","","","","","","",""
"","html-button-response","3","43992","0.0-3.0","37088.300000000745","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your practice session. You will see a checkerboard with random simple shapes appearing in different positions in the checkerboard. Your task is simply to observe the patterns so that you would be able to answer some questions about the sequence after the practice session.  The session will last for about 8 minutes.  Please, pay attention to EACH display! <br><br>Occasionally, there will be an attention check asking you to press the spacebar. ","0","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","4","46004","0.0-4.0-0.0-0.0","","[[0,0,0,0,""img/obj2.png""],[0,0,""img/obj10.png"",""img/obj1.png"",0],[0,""img/obj5.png"",""img/obj9.png"",0,0],[0,0,""img/obj6.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","5","49024","0.0-4.0-0.0-1.0","","[[0,""img/obj11.png"",0,0,0],[0,0,""img/obj7.png"",""img/obj8.png"",0],[0,0,0,""img/obj12.png"",""img/obj3.png""],[0,0,0,""img/obj4.png"",0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","6","52046","0.0-4.0-0.0-2.0","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,""img/obj11.png"",""img/obj2.png"",0],[0,0,""img/obj1.png"",""img/obj7.png"",0],[0,""img/obj9.png"",0,0,""img/obj12.png""]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","7","55074","0.0-4.0-0.0-3.0","","[[""img/obj11.png"",0,0,0,0],[0,""img/obj7.png"",0,0,0],[0,""img/obj8.png"",""img/obj12.png"",0,0],[0,0,""img/obj3.png"",0,0],[0,""img/obj4.png"",0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","8","58099","0.0-4.0-0.0-4.0","","[[0,0,0,""img/obj8.png"",""img/obj10.png""],[0,0,0,""img/obj5.png"",""img/obj3.png""],[0,0,0,""img/obj4.png"",""img/obj6.png""],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","9","61120","0.0-4.0-0.0-5.0","","[[0,0,0,0,0],[0,0,""img/obj10.png"",0,0],[0,""img/obj5.png"",""img/obj2.png"",0,0],[0,""img/obj1.png"",""img/obj6.png"",0,0],[""img/obj9.png"",0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","10","64137","0.0-4.0-0.0-6.0","","[[0,0,""img/obj2.png"",0,0],[""img/obj11.png"",""img/obj1.png"",0,0,0],[""img/obj9.png"",""img/obj7.png"",0,0,0],[0,0,""img/obj12.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","11","67161","0.0-4.0-0.0-7.0","","[[0,0,0,0,0],[0,0,0,0,0],[""img/obj11.png"",0,0,""img/obj2.png"",0],[0,""img/obj7.png"",""img/obj1.png"",0,0],[0,""img/obj9.png"",""img/obj12.png"",0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","12","70172","0.0-4.0-0.0-8.0","","[[""img/obj11.png"",0,0,0,0],[0,""img/obj7.png"",""img/obj10.png"",0,0],[0,""img/obj5.png"",""img/obj12.png"",0,0],[0,0,""img/obj6.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","13","73196","0.0-4.0-0.0-9.0","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,0,""img/obj8.png"",""img/obj2.png""],[0,0,0,""img/obj1.png"",""img/obj3.png""],[0,0,""img/obj9.png"",""img/obj4.png"",0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","14","76220","0.0-4.0-0.0-10.0","","[[0,0,0,0,0],[0,0,""img/obj11.png"",""img/obj8.png"",0],[0,0,0,""img/obj7.png"",""img/obj3.png""],[0,0,0,""img/obj4.png"",""img/obj12.png""],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","15","79238","0.0-4.0-0.0-11.0","","[[0,0,0,0,0],[""img/obj11.png"",""img/obj8.png"",0,0,0],[0,""img/obj7.png"",""img/obj3.png"",0,0],[0,""img/obj4.png"",""img/obj12.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","16","82249","0.0-4.0-0.0-12.0","","[[0,""img/obj8.png"",""img/obj10.png"",0,0],[0,""img/obj5.png"",""img/obj3.png"",0,0],[0,""img/obj4.png"",""img/obj6.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","17","85272","0.0-4.0-0.0-13.0","","[[0,0,0,0,0],[0,0,0,0,0],[0,""img/obj10.png"",""img/obj2.png"",0,0],[""img/obj5.png"",""img/obj1.png"",0,0,0],[""img/obj9.png"",""img/obj6.png"",0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","18","88298","0.0-4.0-0.0-14.0","","[[0,0,""img/obj11.png"",0,0],[0,0,0,""img/obj7.png"",""img/obj10.png""],[0,0,0,""img/obj5.png"",""img/obj12.png""],[0,0,0,0,""img/obj6.png""],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","19","91311","0.0-4.0-0.0-15.0","","[[0,0,""img/obj8.png"",""img/obj10.png"",0],[0,0,""img/obj5.png"",""img/obj3.png"",0],[0,0,""img/obj4.png"",""img/obj6.png"",0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","20","94324","0.0-4.0-0.0-16.0","","[[0,0,""img/obj8.png"",""img/obj2.png"",0],[0,0,""img/obj1.png"",""img/obj3.png"",0],[0,""img/obj9.png"",""img/obj4.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","21","97350","0.0-4.0-0.0-17.0","","[[0,0,0,0,0],[0,""img/obj8.png"",""img/obj2.png"",0,0],[0,""img/obj1.png"",""img/obj3.png"",0,0],[""img/obj9.png"",""img/obj4.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","22","100364","0.0-4.0-0.0-18.0","","[[0,0,0,0,0],[0,0,""img/obj11.png"",0,0],[0,0,0,""img/obj7.png"",""img/obj2.png""],[0,0,0,""img/obj1.png"",""img/obj12.png""],[0,0,""img/obj9.png"",0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","23","103389","0.0-4.0-0.0-19.0","","[[0,""img/obj11.png"",""img/obj8.png"",0,0],[0,0,""img/obj7.png"",""img/obj3.png"",0],[0,0,""img/obj4.png"",""img/obj12.png"",0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","24","106411","0.0-4.0-0.0-20.0","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,""img/obj8.png"",""img/obj2.png"",0],[0,0,""img/obj1.png"",""img/obj3.png"",0],[0,""img/obj9.png"",""img/obj4.png"",0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","25","109431","0.0-4.0-0.0-21.0","","[[0,0,0,0,0],[0,0,0,""img/obj8.png"",""img/obj2.png""],[0,0,0,""img/obj1.png"",""img/obj3.png""],[0,0,""img/obj9.png"",""img/obj4.png"",0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","26","112455","0.0-4.0-0.0-22.0","","[[0,0,0,0,0],[0,0,""img/obj11.png"",""img/obj10.png"",0],[0,0,""img/obj5.png"",""img/obj7.png"",0],[0,0,0,""img/obj6.png"",""img/obj12.png""],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","27","115471","0.0-4.0-0.0-23.0","","[[0,0,""img/obj10.png"",0,0],[0,""img/obj5.png"",""img/obj11.png"",0,0],[0,0,""img/obj6.png"",""img/obj7.png"",0],[0,0,0,0,""img/obj12.png""],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","28","118495","0.0-4.0-0.0-24.0","","[[0,0,0,""img/obj10.png"",0],[0,0,""img/obj5.png"",""img/obj2.png"",0],[0,0,""img/obj1.png"",""img/obj6.png"",0],[0,""img/obj9.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","29","121510","0.0-4.0-0.0-25.0","","[[0,0,0,0,0],[0,0,0,""img/obj8.png"",0],[0,0,0,""img/obj2.png"",""img/obj3.png""],[0,0,""img/obj1.png"",""img/obj4.png"",0],[0,""img/obj9.png"",0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","30","124531","0.0-4.0-0.0-26.0","","[[0,""img/obj10.png"",""img/obj2.png"",0,0],[""img/obj5.png"",""img/obj1.png"",0,0,0],[""img/obj9.png"",""img/obj6.png"",0,0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","31","127553","0.0-4.0-0.0-27.0","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,""img/obj11.png"",""img/obj8.png"",0],[0,0,0,""img/obj7.png"",""img/obj3.png""],[0,0,0,""img/obj4.png"",""img/obj12.png""]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","32","130576","0.0-4.0-0.0-28.0","","[[0,0,0,0,0],[0,0,""img/obj8.png"",0,0],[0,0,""img/obj2.png"",""img/obj3.png"",0],[0,""img/obj1.png"",""img/obj4.png"",0,0],[""img/obj9.png"",0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","33","133594","0.0-4.0-0.0-29.0","","[[0,0,0,0,0],[0,0,0,""img/obj2.png"",0],[0,""img/obj11.png"",""img/obj1.png"",0,0],[0,""img/obj9.png"",""img/obj7.png"",0,0],[0,0,0,""img/obj12.png"",0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","34","136619","0.0-4.0-0.0-30.0","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,""img/obj8.png"",""img/obj10.png"",0],[0,0,""img/obj5.png"",""img/obj3.png"",0],[0,0,""img/obj4.png"",""img/obj6.png"",0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","35","139645","0.0-4.0-0.0-31.0","","[[0,0,0,0,0],[0,0,0,0,0],[0,""img/obj11.png"",""img/obj10.png"",0,0],[0,""img/obj5.png"",""img/obj7.png"",0,0],[0,0,""img/obj6.png"",""img/obj12.png"",0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","36","142666","0.0-4.0-0.0-32.0","","[[0,0,0,0,0],[0,0,""img/obj11.png"",0,0],[0,0,0,""img/obj7.png"",""img/obj10.png""],[0,0,0,""img/obj5.png"",""img/obj12.png""],[0,0,0,0,""img/obj6.png""]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","37","145684","0.0-4.0-0.0-33.0","","[[0,0,0,0,0],[0,""img/obj10.png"",""img/obj2.png"",0,0],[""img/obj5.png"",""img/obj1.png"",0,0,0],[""img/obj9.png"",""img/obj6.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","38","148708","0.0-4.0-0.0-34.0","","[[0,0,""img/obj2.png"",0,0],[""img/obj8.png"",""img/obj1.png"",0,0,0],[""img/obj9.png"",""img/obj3.png"",0,0,0],[""img/obj4.png"",0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","39","151724","0.0-4.0-0.0-35.0","","[[0,0,0,0,0],[0,0,0,""img/obj2.png"",0],[0,""img/obj8.png"",""img/obj1.png"",0,0],[0,""img/obj9.png"",""img/obj3.png"",0,0],[0,""img/obj4.png"",0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","40","154744","0.0-4.0-0.0-36.0","","[[0,0,0,0,0],[0,0,0,0,0],[0,""img/obj8.png"",""img/obj10.png"",0,0],[0,""img/obj5.png"",""img/obj3.png"",0,0],[0,""img/obj4.png"",""img/obj6.png"",0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","41","157763","0.0-4.0-0.0-37.0","","[[0,0,0,0,0],[0,""img/obj11.png"",0,0,0],[0,0,""img/obj7.png"",""img/obj10.png"",0],[0,0,""img/obj5.png"",""img/obj12.png"",0],[0,0,0,""img/obj6.png"",0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","42","160782","0.0-4.0-0.0-38.0","","[[0,0,0,0,0],[0,0,""img/obj2.png"",0,0],[""img/obj8.png"",""img/obj1.png"",0,0,0],[""img/obj9.png"",""img/obj3.png"",0,0,0],[""img/obj4.png"",0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","43","163810","0.0-4.0-0.0-39.0","","[[""img/obj8.png"",""img/obj10.png"",0,0,0],[""img/obj5.png"",""img/obj3.png"",0,0,0],[""img/obj4.png"",""img/obj6.png"",0,0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
