"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","button_pressed","responses","key_press","test_part","correct_response","test_number","test_scene","patternsize","true_test","correct","randomID","subject","image_switchboard","scene_order"
"true","fullscreen","0","1896","0.0-0.0","","","","","","","","","","","","","","","",""
"","html-button-response","1","3202","0.0-1.0","1300.8000000044703","<p style=""text-align: justify;margin-left: 15%; margin-right:15%"">You are participating in an experiment at the Vision Lab of the Department of Cognitive Science, Central European University.  One of our main questions is what kind of representations we can create about our visual environment and how these representations influence our behavior. At our lab we use multiple methods, for example behavioral experiments and computational models. In this experiment you will observe scenes consisting of abstract shapes and answer simple questions about them. <br><br>At the beginning and throughout the experiment you will receive precise information about what to do. The experiment takes about 20 minutes in total. <br><br>The test is voluntary, and you can withdraw your participation at any time. We treat your personal information confidentially. <br>Only those people who work on this research project have access to your data. We will work with group level statistics. We will only report the results of the group in scientific publications and conferences. This research was approved by the Hungarian Psychological Research Ethics Committee.<br><br>If you have any further questions about the study, you can contact the experimenter, Beata Tunde Szabo, PhD Student. Contact: 1051 Oct 6. utca 7. E-mail: szabo_beata-tunde@phd.ceu.edu <br><br>By pressing the button below you indicate that you read this information, found it sufficent, and you consent to participate in the experiment. <br><br> </p>","0","","","","","","","","","","","","",""
"","survey-html-form","2","6334","0.0-2.0","3129.9000000059605","","","{""Age"":""2"",""gender"":""Female"",""gender_other"":""""}","","","","","","","","","","","",""
"","html-button-response","3","8380","0.0-3.0","2044.6999999955297","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your practice session. You will see a checkerboard with random simple shapes appearing in different positions in the checkerboard. Your task is simply to observe the patterns so that you would be able to answer some questions about the sequence after the practice session.  The session will last for about 8 minutes.  Please, pay attention to EACH display! <br><br>Occasionally, there will be an attention check asking you to press the spacebar. ","0","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","4","10383","0.0-4.0-0.0-0.0","","[[""img/obj8.png"",0,0,0,0],[""img/obj12.png"",""img/obj2.png"",0,0,0],[""img/obj1.png"",""img/obj10.png"",0,0,0],[0,0,""img/obj6.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","5","13409","0.0-4.0-0.0-1.0","","[[0,0,0,0,0],[0,0,""img/obj3.png"",0,0],[""img/obj8.png"",""img/obj5.png"",0,0,0],[""img/obj4.png"",""img/obj2.png"",0,0,0],[""img/obj1.png"",0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","6","16430","0.0-4.0-0.0-2.0","","[[0,0,0,0,0],[0,0,0,0,0],[""img/obj8.png"",""img/obj7.png"",0,0,0],[""img/obj11.png"",""img/obj2.png"",0,0,0],[""img/obj1.png"",""img/obj9.png"",0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","7","19452","0.0-4.0-0.0-3.0","","[[0,0,0,0,0],[0,0,""img/obj7.png"",0,0],[0,""img/obj11.png"",""img/obj12.png"",0,0],[0,0,""img/obj9.png"",""img/obj10.png"",0],[0,0,0,0,""img/obj6.png""]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","8","22460","0.0-4.0-0.0-4.0","","[[0,0,""img/obj8.png"",""img/obj7.png"",0],[0,0,""img/obj11.png"",""img/obj2.png"",0],[0,0,""img/obj1.png"",""img/obj9.png"",0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","9","25469","0.0-4.0-0.0-5.0","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,""img/obj7.png"",""img/obj3.png"",0],[0,""img/obj11.png"",""img/obj5.png"",0,0],[0,""img/obj4.png"",""img/obj9.png"",0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","10","28483","0.0-4.0-0.0-6.0","","[[0,0,0,0,0],[0,0,0,0,0],[0,""img/obj8.png"",""img/obj3.png"",0,0],[0,""img/obj5.png"",""img/obj2.png"",0,0],[""img/obj4.png"",""img/obj1.png"",0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","11","31497","0.0-4.0-0.0-7.0","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,0,""img/obj8.png"",""img/obj3.png""],[0,0,0,""img/obj5.png"",""img/obj2.png""],[0,0,""img/obj4.png"",""img/obj1.png"",0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","12","34520","0.0-4.0-0.0-8.0","","[[""img/obj12.png"",0,0,""img/obj3.png"",0],[0,""img/obj10.png"",""img/obj5.png"",0,0],[0,""img/obj4.png"",""img/obj6.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","13","37542","0.0-4.0-0.0-9.0","","[[0,0,""img/obj12.png"",0,0],[0,0,0,""img/obj10.png"",""img/obj7.png""],[0,0,0,""img/obj11.png"",""img/obj6.png""],[0,0,0,0,""img/obj9.png""],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","14","40560","0.0-4.0-0.0-10.0","","[[0,""img/obj12.png"",""img/obj8.png"",0,0],[0,0,""img/obj10.png"",""img/obj2.png"",0],[0,0,""img/obj1.png"",""img/obj6.png"",0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","15","43582","0.0-4.0-0.0-11.0","","[[0,0,0,0,0],[0,""img/obj8.png"",""img/obj7.png"",0,0],[0,""img/obj11.png"",""img/obj2.png"",0,0],[0,""img/obj1.png"",""img/obj9.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","16","46612","0.0-4.0-0.0-12.0","","[[0,0,""img/obj12.png"",""img/obj3.png"",0],[0,0,""img/obj5.png"",""img/obj10.png"",0],[0,""img/obj4.png"",0,0,""img/obj6.png""],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","17","49636","0.0-4.0-0.0-13.0","","[[0,0,0,0,0],[0,""img/obj8.png"",""img/obj3.png"",0,0],[0,""img/obj5.png"",""img/obj2.png"",0,0],[""img/obj4.png"",""img/obj1.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","18","52652","0.0-4.0-0.0-14.0","","[[0,0,0,0,0],[0,0,""img/obj7.png"",0,0],[0,""img/obj11.png"",""img/obj3.png"",0,0],[0,""img/obj5.png"",""img/obj9.png"",0,0],[""img/obj4.png"",0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","19","55662","0.0-4.0-0.0-15.0","","[[0,""img/obj12.png"",0,0,0],[0,0,""img/obj10.png"",""img/obj8.png"",0],[0,0,0,""img/obj6.png"",""img/obj2.png""],[0,0,0,""img/obj1.png"",0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","20","58678","0.0-4.0-0.0-16.0","","[[""img/obj12.png"",0,0,0,0],[0,""img/obj10.png"",""img/obj3.png"",0,0],[0,""img/obj5.png"",""img/obj6.png"",0,0],[""img/obj4.png"",0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","21","61695","0.0-4.0-0.0-17.0","","[[0,0,0,0,0],[0,0,0,""img/obj7.png"",0],[0,0,""img/obj11.png"",""img/obj3.png"",0],[0,0,""img/obj5.png"",""img/obj9.png"",0],[0,""img/obj4.png"",0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","22","64708","0.0-4.0-0.0-18.0","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,0,""img/obj8.png"",""img/obj7.png""],[0,0,0,""img/obj11.png"",""img/obj2.png""],[0,0,0,""img/obj1.png"",""img/obj9.png""]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","23","67729","0.0-4.0-0.0-19.0","","[[0,0,0,0,0],[""img/obj8.png"",0,0,0,0],[""img/obj12.png"",""img/obj2.png"",0,0,0],[""img/obj1.png"",""img/obj10.png"",0,0,0],[0,0,""img/obj6.png"",0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","24","70744","0.0-4.0-0.0-20.0","","[[0,0,0,""img/obj3.png"",0],[0,""img/obj8.png"",""img/obj5.png"",0,0],[0,""img/obj4.png"",""img/obj2.png"",0,0],[0,""img/obj1.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","25","73764","0.0-4.0-0.0-21.0","","[[0,0,""img/obj8.png"",""img/obj3.png"",0],[0,0,""img/obj5.png"",""img/obj2.png"",0],[0,""img/obj4.png"",""img/obj1.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","26","76787","0.0-4.0-0.0-22.0","","[[0,0,0,""img/obj3.png"",0],[0,""img/obj7.png"",""img/obj5.png"",0,0],[""img/obj11.png"",""img/obj4.png"",0,0,0],[0,""img/obj9.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","27","79795","0.0-4.0-0.0-23.0","","[[0,0,0,0,0],[0,0,""img/obj12.png"",0,0],[0,0,0,""img/obj10.png"",""img/obj7.png""],[0,0,0,""img/obj11.png"",""img/obj6.png""],[0,0,0,0,""img/obj9.png""]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","28","82815","0.0-4.0-0.0-24.0","","[[0,0,0,0,""img/obj3.png""],[0,0,""img/obj7.png"",""img/obj5.png"",0],[0,""img/obj11.png"",""img/obj4.png"",0,0],[0,0,""img/obj9.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","29","85829","0.0-4.0-0.0-25.0","","[[0,""img/obj12.png"",0,0,""img/obj3.png""],[0,0,""img/obj10.png"",""img/obj5.png"",0],[0,0,""img/obj4.png"",""img/obj6.png"",0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","30","88848","0.0-4.0-0.0-26.0","","[[0,0,0,0,0],[0,0,0,0,0],[0,""img/obj8.png"",""img/obj7.png"",0,0],[0,""img/obj11.png"",""img/obj2.png"",0,0],[0,""img/obj1.png"",""img/obj9.png"",0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","31","91875","0.0-4.0-0.0-27.0","","[[0,0,0,""img/obj7.png"",0],[0,0,""img/obj11.png"",0,0],[0,0,""img/obj12.png"",""img/obj9.png"",0],[0,0,0,""img/obj10.png"",0],[0,0,0,0,""img/obj6.png""]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","32","94887","0.0-4.0-0.0-28.0","","[[0,0,0,0,0],[""img/obj12.png"",""img/obj7.png"",0,0,0],[""img/obj11.png"",""img/obj10.png"",0,0,0],[0,""img/obj9.png"",""img/obj6.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","33","97903","0.0-4.0-0.0-29.0","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,""img/obj12.png"",""img/obj8.png"",0],[0,0,0,""img/obj10.png"",""img/obj2.png""],[0,0,0,""img/obj1.png"",""img/obj6.png""]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","34","100927","0.0-4.0-0.0-30.0","","[[0,0,0,""img/obj8.png"",0],[0,0,0,""img/obj3.png"",""img/obj2.png""],[0,0,""img/obj5.png"",""img/obj1.png"",0],[0,""img/obj4.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","35","103939","0.0-4.0-0.0-31.0","","[[0,0,0,0,0],[0,""img/obj12.png"",0,0,0],[0,0,""img/obj10.png"",""img/obj8.png"",0],[0,0,0,""img/obj6.png"",""img/obj2.png""],[0,0,0,""img/obj1.png"",0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","36","106949","0.0-4.0-0.0-32.0","","[[0,0,0,0,0],[0,0,""img/obj12.png"",""img/obj7.png"",0],[0,0,""img/obj11.png"",""img/obj10.png"",0],[0,0,0,""img/obj9.png"",""img/obj6.png""],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","37","109962","0.0-4.0-0.0-33.0","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,""img/obj12.png"",""img/obj7.png"",0],[0,0,""img/obj11.png"",""img/obj10.png"",0],[0,0,0,""img/obj9.png"",""img/obj6.png""]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","38","112979","0.0-4.0-0.0-34.0","","[[0,0,""img/obj8.png"",0,0],[0,0,""img/obj3.png"",""img/obj2.png"",0],[0,""img/obj5.png"",""img/obj1.png"",0,0],[""img/obj4.png"",0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","39","115993","0.0-4.0-0.0-35.0","","[[0,0,0,0,0],[0,0,0,""img/obj3.png"",0],[0,""img/obj12.png"",""img/obj5.png"",0,0],[0,""img/obj4.png"",""img/obj10.png"",0,0],[0,0,0,""img/obj6.png"",0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","40","119010","0.0-4.0-0.0-36.0","","[[0,0,""img/obj3.png"",0,0],[0,""img/obj5.png"",0,0,0],[""img/obj4.png"",""img/obj7.png"",0,0,0],[""img/obj11.png"",0,0,0,0],[0,""img/obj9.png"",0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","41","122024","0.0-4.0-0.0-37.0","","[[0,0,0,0,0],[0,0,""img/obj8.png"",""img/obj3.png"",0],[0,0,""img/obj5.png"",""img/obj2.png"",0],[0,""img/obj4.png"",""img/obj1.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","42","125034","0.0-4.0-0.0-38.0","","[[0,0,0,""img/obj7.png"",0],[0,0,""img/obj11.png"",""img/obj3.png"",0],[0,0,""img/obj5.png"",""img/obj9.png"",0],[0,""img/obj4.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","43","128038","0.0-4.0-0.0-39.0","","[[0,0,0,0,0],[""img/obj8.png"",""img/obj7.png"",0,0,0],[""img/obj11.png"",""img/obj2.png"",0,0,0],[""img/obj1.png"",""img/obj9.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","44","131057","0.0-4.0-0.0-40.0","","[[0,0,0,0,0],[0,0,0,0,0],[""img/obj12.png"",0,0,""img/obj3.png"",0],[0,""img/obj10.png"",""img/obj5.png"",0,0],[0,""img/obj4.png"",""img/obj6.png"",0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","45","134079","0.0-4.0-0.0-41.0","","[[0,""img/obj7.png"",0,0,0],[""img/obj11.png"",""img/obj12.png"",0,0,0],[0,""img/obj9.png"",""img/obj10.png"",0,0],[0,0,0,""img/obj6.png"",0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","46","137099","0.0-4.0-0.0-42.0","","[[0,0,""img/obj12.png"",0,0],[0,0,0,""img/obj10.png"",""img/obj3.png""],[0,0,0,""img/obj5.png"",""img/obj6.png""],[0,0,""img/obj4.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","47","140107","0.0-4.0-0.0-43.0","","[[0,0,0,0,0],[0,""img/obj12.png"",""img/obj3.png"",0,0],[0,""img/obj5.png"",""img/obj10.png"",0,0],[""img/obj4.png"",0,0,""img/obj6.png"",0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","48","143129","0.0-4.0-0.0-44.0","","[[0,0,0,0,0],[0,0,0,""img/obj3.png"",0],[0,""img/obj7.png"",""img/obj5.png"",0,0],[""img/obj11.png"",""img/obj4.png"",0,0,0],[0,""img/obj9.png"",0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","49","146144","0.0-4.0-0.0-45.0","","[[0,0,0,0,0],[0,0,0,0,0],[0,0,0,""img/obj7.png"",""img/obj3.png""],[0,0,""img/obj11.png"",""img/obj5.png"",0],[0,0,""img/obj4.png"",""img/obj9.png"",0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","50","149151","0.0-4.0-0.0-46.0","","[[0,0,""img/obj7.png"",0,0],[0,""img/obj11.png"",""img/obj12.png"",0,0],[0,0,""img/obj9.png"",""img/obj10.png"",0],[0,0,0,0,""img/obj6.png""],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","51","152177","0.0-4.0-0.0-47.0","","[[0,0,0,0,0],[0,0,0,0,0],[0,""img/obj12.png"",""img/obj7.png"",0,0],[0,""img/obj11.png"",""img/obj10.png"",0,0],[0,0,""img/obj9.png"",""img/obj6.png"",0]]","","","","","","","","","","","","","",""
"","vsl-grid-attention-check","52","156193","0.0-4.0-1.0-0.0-0.0","null","[[0,0,0,0,""img/square.png""],[0,0,0,0,0],[0,0,""img/attention.png"",0,0],[0,""img/square.png"",""img/square.png"",""img/square.png"",0],[0,0,0,0,""img/square.png""]]","","","null","","","","","","","","","","",""
"","vsl-grid-attention-check","53","156957","0.0-4.0-1.0-0.1-0.1","762.3999999985099","[[0,0,0,""img/square.png"",0],[0,0,0,0,""img/square.png""],[0,0,""img/attention.png"",0,0],[0,0,0,0,""img/square.png""],[0,""img/square.png"",""img/square.png"",0,0]]","","","32","","","","","","","","","","",""
"","html-keyboard-response","54","157963","0.0-4.0-1.0-1.0","null"," ","","","null","","","","","","","","","","",""
"","vsl-grid-scene-snap","55","159967","0.0-4.0-2.0-0.0","","[[0,0,0,0,0],[0,""img/obj7.png"",0,0,0],[""img/obj11.png"",""img/obj12.png"",0,0,0],[0,""img/obj9.png"",""img/obj10.png"",0,0],[0,0,0,""img/obj6.png"",0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","56","162982","0.0-4.0-2.0-1.0","","[[0,0,0,0,0],[0,""img/obj8.png"",0,0,0],[0,""img/obj12.png"",""img/obj2.png"",0,0],[0,""img/obj1.png"",""img/obj10.png"",0,0],[0,0,0,""img/obj6.png"",0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","57","166006","0.0-4.0-2.0-2.0","","[[0,0,0,0,0],[0,0,""img/obj8.png"",""img/obj7.png"",0],[0,0,""img/obj11.png"",""img/obj2.png"",0],[0,0,""img/obj1.png"",""img/obj9.png"",0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","58","169032","0.0-4.0-2.0-3.0","","[[""img/obj12.png"",0,0,0,0],[0,""img/obj10.png"",""img/obj7.png"",0,0],[0,""img/obj11.png"",""img/obj6.png"",0,0],[0,0,""img/obj9.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","59","172042","0.0-4.0-2.0-4.0","","[[0,0,0,0,0],[0,0,0,0,""img/obj3.png""],[0,0,""img/obj7.png"",""img/obj5.png"",0],[0,""img/obj11.png"",""img/obj4.png"",0,0],[0,0,""img/obj9.png"",0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","60","175061","0.0-4.0-2.0-5.0","","[[0,0,0,0,0],[0,0,""img/obj7.png"",""img/obj3.png"",0],[0,""img/obj11.png"",""img/obj5.png"",0,0],[0,""img/obj4.png"",""img/obj9.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","61","178079","0.0-4.0-2.0-6.0","","[[0,0,0,0,0],[0,""img/obj12.png"",""img/obj8.png"",0,0],[0,0,""img/obj10.png"",""img/obj2.png"",0],[0,0,""img/obj1.png"",""img/obj6.png"",0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","62","181092","0.0-4.0-2.0-7.0","","[[0,0,""img/obj7.png"",""img/obj3.png"",0],[0,""img/obj11.png"",""img/obj5.png"",0,0],[0,""img/obj4.png"",""img/obj9.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","63","184101","0.0-4.0-2.0-8.0","","[[0,0,0,0,0],[0,0,""img/obj3.png"",0,0],[""img/obj12.png"",""img/obj5.png"",0,0,0],[""img/obj4.png"",""img/obj10.png"",0,0,0],[0,0,""img/obj6.png"",0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","64","187108","0.0-4.0-2.0-9.0","","[[0,0,0,0,0],[0,0,""img/obj12.png"",""img/obj8.png"",0],[0,0,0,""img/obj10.png"",""img/obj2.png""],[0,0,0,""img/obj1.png"",""img/obj6.png""],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","65","190127","0.0-4.0-2.0-10.0","","[[0,0,""img/obj3.png"",0,0],[""img/obj8.png"",""img/obj5.png"",0,0,0],[""img/obj4.png"",""img/obj2.png"",0,0,0],[""img/obj1.png"",0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","66","193147","0.0-4.0-2.0-11.0","","[[0,""img/obj8.png"",""img/obj7.png"",0,0],[0,""img/obj11.png"",""img/obj2.png"",0,0],[0,""img/obj1.png"",""img/obj9.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","67","196158","0.0-4.0-2.0-12.0","","[[0,0,0,0,0],[0,0,0,""img/obj7.png"",""img/obj3.png""],[0,0,""img/obj11.png"",""img/obj5.png"",0],[0,0,""img/obj4.png"",""img/obj9.png"",0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","68","199166","0.0-4.0-2.0-13.0","","[[0,0,0,0,0],[0,0,0,""img/obj3.png"",0],[0,""img/obj8.png"",""img/obj5.png"",0,0],[0,""img/obj4.png"",""img/obj2.png"",0,0],[0,""img/obj1.png"",0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","69","202174","0.0-4.0-2.0-14.0","","[[0,""img/obj8.png"",""img/obj3.png"",0,0],[0,""img/obj5.png"",""img/obj2.png"",0,0],[""img/obj4.png"",""img/obj1.png"",0,0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","70","205184","0.0-4.0-2.0-15.0","","[[0,0,""img/obj7.png"",0,0],[0,""img/obj11.png"",""img/obj3.png"",0,0],[0,""img/obj5.png"",""img/obj9.png"",0,0],[""img/obj4.png"",0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","71","208202","0.0-4.0-2.0-16.0","","[[0,0,0,0,""img/obj7.png""],[0,0,0,""img/obj11.png"",""img/obj3.png""],[0,0,0,""img/obj5.png"",""img/obj9.png""],[0,0,""img/obj4.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","72","211221","0.0-4.0-2.0-17.0","","[[0,0,""img/obj12.png"",""img/obj8.png"",0],[0,0,0,""img/obj10.png"",""img/obj2.png""],[0,0,0,""img/obj1.png"",""img/obj6.png""],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","73","214244","0.0-4.0-2.0-18.0","","[[0,0,0,0,0],[0,""img/obj12.png"",0,0,0],[0,0,""img/obj10.png"",""img/obj7.png"",0],[0,0,""img/obj11.png"",""img/obj6.png"",0],[0,0,0,""img/obj9.png"",0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","74","217259","0.0-4.0-2.0-19.0","","[[0,0,0,0,0],[0,""img/obj7.png"",""img/obj3.png"",0,0],[""img/obj11.png"",""img/obj5.png"",0,0,0],[""img/obj4.png"",""img/obj9.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","75","220281","0.0-4.0-2.0-20.0","","[[0,0,0,0,0],[0,0,0,""img/obj8.png"",""img/obj7.png""],[0,0,0,""img/obj11.png"",""img/obj2.png""],[0,0,0,""img/obj1.png"",""img/obj9.png""],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","76","223295","0.0-4.0-2.0-21.0","","[[""img/obj12.png"",0,0,0,0],[0,""img/obj10.png"",""img/obj8.png"",0,0],[0,0,""img/obj6.png"",""img/obj2.png"",0],[0,0,""img/obj1.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","","","","",""
"","vsl-grid-scene-snap","77","226315","0.0-4.0-2.0-22.0","","[[0,0,0,0,0],[0,0,0,0,0],[""img/obj12.png"",""img/obj8.png"",0,0,0],[0,""img/obj10.png"",""img/obj2.png"",0,0],[0,""img/obj1.png"",""img/obj6.png"",0,0]]","","","","","","","","","","","","","",""
